symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
CHENNPETRO,Oil Gas & Consumable Fuels,1009.0,-1.99,593.98,1159.7,69.87,12.99,45.15,1012.13,866.74,0.21,Bearish,20,Above 200 DMA
MAPMYINDIA,Information Technology,1014.1,-0.26,795.0,2162.48,27.56,53.1,57.13,939.27,1451.22,0.21,Bullish,20,Above 50 DMA
SAGILITY,Information Technology,42.0,-2.14,35.83,57.83,17.22,27.38,48.17,41.06,46.04,0.81,Bullish,20,Above 50 DMA
SCHAEFFLER,Automobile and Auto Components,4029.6,-0.31,3489.69,4445.0,15.47,9.35,45.3,4043.88,3942.38,0.3,Bearish,20,Above 200 DMA
SAPPHIRE,Consumer Services,179.42,3.32,139.91,368.0,28.24,51.24,49.5,173.99,244.24,1.25,Bullish,20,Above 50 DMA
SONATSOFTW,Information Technology,265.75,-0.21,207.15,443.11,28.29,40.03,50.48,251.73,325.72,0.27,Bullish,20,Above 50 DMA
SOBHA,Realty,1397.3,-0.39,1130.0,1732.5,23.65,19.35,52.09,1333.59,1471.07,0.15,Bullish,20,Above 50 DMA
SUMICHEM,Chemicals,458.75,1.1,362.6,665.0,26.52,31.02,55.06,417.95,478.07,0.58,Bullish,20,Above 50 DMA
SIGNATURE,Realty,851.3,-1.72,705.2,1309.5,20.72,34.99,48.63,834.72,1009.92,0.72,Bullish,20,Above 50 DMA
CANFINHOME,Financial Services,849.55,0.75,703.23,971.5,20.81,12.55,46.37,850.28,844.52,0.6,Bearish,20,Above 200 DMA
SPLPETRO,Chemicals,695.45,1.27,462.3,975.75,50.43,28.73,39.25,722.55,706.42,0.19,Bearish,20,RSI weak/oversold
BBTC,Fast Moving Consumer Goods,1522.8,-0.98,1314.6,2134.48,15.84,28.66,51.01,1503.58,1758.61,0.45,Bullish,20,Above 50 DMA
BLUEJET,Healthcare,430.4,-1.86,325.0,1026.0,32.43,58.05,47.52,402.2,547.46,0.48,Bullish,20,Above 50 DMA
CANHLIFE,Financial Services,135.43,-1.07,106.0,159.0,27.76,14.82,39.36,143.67,,0.14,Bearish,20,RSI weak/oversold
CIEINDIA,Automobile and Auto Components,460.75,1.1,375.7,518.55,22.64,11.15,46.11,462.5,424.56,0.7,Bearish,20,Above 200 DMA
DABUR,Fast Moving Consumer Goods,467.7,0.63,403.35,573.97,15.95,18.51,55.79,449.54,496.3,0.42,Bullish,20,Above 50 DMA
CIPLA,Healthcare,1432.1,-0.32,1165.7,1673.0,22.85,14.4,69.97,1284.08,1440.59,0.51,Bullish,20,Above 50 DMA
TARIL,Capital Goods,300.8,-1.31,224.05,578.5,34.26,48.0,46.24,298.82,363.87,0.21,Bullish,20,Above 50 DMA
TENNIND,Automobile and Auto Components,602.3,-0.28,438.05,657.0,37.5,8.33,50.96,569.28,,0.12,Bullish,20,Above 50 DMA
TATAINVEST,Financial Services,675.95,0.72,538.85,1184.7,25.44,42.94,45.3,658.52,712.47,0.43,Bullish,20,Above 50 DMA
CEMPRO,Construction,899.55,-2.93,503.3,982.8,78.73,8.47,65.06,657.24,,0.16,Bullish,20,Above 50 DMA
ASTRAL,Capital Goods,1550.8,-0.67,1260.29,1768.7,23.05,12.32,47.2,1594.54,1487.57,0.57,Bearish,20,Above 200 DMA
AIIL,Financial Services,505.5,-0.02,400.0,683.0,26.38,25.99,58.57,465.96,549.07,0.81,Bullish,20,Above 50 DMA
ASAHIINDIA,Automobile and Auto Components,819.65,-0.24,686.67,1074.0,19.37,23.68,42.58,838.5,907.95,1.19,Bearish,20,RSI weak/oversold
ASHOKLEY,Capital Goods,153.13,-0.78,114.14,215.42,34.16,28.92,35.81,170.6,160.13,1.24,Bearish,20,RSI weak/oversold
BAJFINANCE,Financial Services,910.45,-0.19,787.9,1102.5,15.55,17.42,46.44,903.63,961.94,0.68,Bullish,20,Above 50 DMA
BAJAJHLDNG,Financial Services,10308.0,-0.47,8588.0,14690.34,20.03,29.83,51.95,10010.78,11553.55,0.5,Bullish,20,Above 50 DMA
BAJAJHFL,Financial Services,83.85,-0.38,72.65,128.7,15.42,34.85,42.14,84.56,98.68,0.46,Bearish,20,RSI weak/oversold
BANKBARODA,Financial Services,261.4,-2.39,225.14,325.5,16.11,19.69,42.21,274.3,274.57,1.02,Bearish,20,RSI weak/oversold
BANKINDIA,Financial Services,142.26,-1.17,108.81,178.36,30.74,20.24,46.96,147.26,140.02,0.74,Bearish,20,Above 200 DMA
SYNGENE,Healthcare,454.05,-2.97,380.0,728.6,19.49,37.68,51.99,425.38,568.74,0.22,Bullish,20,Above 50 DMA
BEML,Capital Goods,1788.1,-2.47,1355.0,2433.23,31.96,26.51,49.7,1673.04,1866.85,0.41,Bullish,20,Above 50 DMA
BLS,Consumer Services,252.9,-2.9,218.9,417.85,15.53,39.48,34.66,268.55,310.63,1.15,Bearish,20,RSI weak/oversold
AAVAS,Financial Services,1384.7,-0.82,1060.4,2152.9,30.58,35.68,55.15,1268.17,1484.25,0.27,Bullish,20,Above 50 DMA
ACE,Capital Goods,888.25,0.33,745.1,1386.04,19.21,35.91,49.4,868.52,965.54,0.64,Bullish,20,Above 50 DMA
TITAGARH,Capital Goods,763.3,-1.11,568.7,973.19,34.22,21.57,49.82,706.39,806.81,0.23,Bullish,20,Above 50 DMA
TATACHEM,Chemicals,748.9,-1.08,580.3,1026.65,29.05,27.05,50.42,703.43,807.71,0.17,Bullish,20,Above 50 DMA
TATATECH,Information Technology,620.45,-0.39,507.4,784.62,22.28,20.92,60.06,570.9,645.15,0.21,Bullish,20,Above 50 DMA
TTML,Telecommunication,42.01,-1.29,31.22,81.12,34.56,48.21,48.2,40.47,49.35,0.38,Bullish,20,Above 50 DMA
TECHNOE,Construction,1196.0,-2.14,870.0,1643.83,37.47,27.24,46.39,1159.4,1221.71,0.7,Bullish,20,Above 50 DMA
TMCV,Capital Goods,377.95,-0.4,306.3,509.0,23.39,25.75,33.67,426.21,,1.21,Bearish,20,RSI weak/oversold
NIACL,Financial Services,165.02,0.11,116.97,212.81,41.08,22.46,59.13,147.62,167.0,1.06,Bullish,20,Above 50 DMA
AWL,Fast Moving Consumer Goods,199.73,-0.54,171.19,286.0,16.67,30.16,52.8,187.91,231.89,0.4,Bullish,20,Above 50 DMA
SAMMAANCAP,Financial Services,142.67,-0.32,114.1,192.95,25.04,26.06,45.36,145.4,147.23,1.38,Bearish,15,Volume expansion
HINDPETRO,Oil Gas & Consumable Fuels,366.4,-2.95,316.2,508.45,15.88,27.94,45.48,368.12,420.72,1.79,Bearish,15,Volume expansion
REDINGTON,Services,221.29,1.91,191.31,327.51,15.67,32.43,51.22,223.02,256.33,1.53,Bearish,15,Volume expansion
MFSL,Financial Services,1604.0,-1.68,1323.2,1892.5,21.22,15.24,45.83,1632.17,1637.52,0.94,Bearish,0,
HEROMOTOCO,Automobile and Auto Components,5064.5,-0.25,3930.01,6266.36,28.87,19.18,45.08,5234.73,5355.48,0.65,Bearish,0,
CYIENT,Information Technology,870.7,-0.13,750.3,1343.18,16.05,35.18,45.22,875.17,1077.04,0.26,Bearish,0,
