symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
BALKRISIND,Automobile and Auto Components,2148.3,-1.95,2015.4,2787.61,6.59,22.93,44.55,2206.78,2351.56,0.23,Bearish,45,"Near 52W low, RSI weak/oversold"
TATAELXSI,Information Technology,4125.6,2.48,3945.0,6680.0,4.58,38.24,43.06,4270.79,5116.22,0.77,Bearish,45,"Near 52W low, RSI weak/oversold"
ABBOTINDIA,Healthcare,27940.0,1.53,25150.0,36491.76,11.09,23.43,67.94,26297.6,28771.32,0.7,Bullish,45,"Near 52W low, Above 50 DMA"
UPL,Chemicals,632.25,-0.96,565.15,812.2,11.87,22.16,46.37,631.34,700.17,0.71,Bullish,45,"Near 52W low, Above 50 DMA"
BRITANNIA,Fast Moving Consumer Goods,5406.0,0.62,5279.5,6336.0,2.4,14.68,38.43,5672.34,5843.96,0.27,Bearish,45,"Near 52W low, RSI weak/oversold"
BRIGADE,Realty,688.25,-1.78,601.0,1328.58,14.52,48.2,34.11,716.15,852.37,0.28,Bearish,45,"Near 52W low, RSI weak/oversold"
FIRSTCRY,Consumer Services,224.22,-2.51,207.05,438.7,8.29,48.89,38.64,232.35,300.83,0.31,Bearish,45,"Near 52W low, RSI weak/oversold"
BLUESTARCO,Consumer Durables,1658.0,-0.55,1450.0,2040.0,14.34,18.73,39.57,1766.78,1827.82,0.64,Bearish,45,"Near 52W low, RSI weak/oversold"
BLUEDART,Services,5071.0,1.08,4683.0,7193.83,8.29,29.51,38.49,5248.91,5604.42,0.88,Bearish,45,"Near 52W low, RSI weak/oversold"
CRISIL,Financial Services,4137.6,0.15,3678.37,6051.88,12.48,31.63,48.8,4101.44,4558.79,0.59,Bullish,45,"Near 52W low, Above 50 DMA"
KALYANKJIL,Consumer Durables,353.05,-2.2,340.1,615.9,3.81,42.68,30.95,401.18,464.05,0.75,Bearish,45,"Near 52W low, RSI weak/oversold"
PVRINOX,Media Entertainment & Publication,1009.9,-1.17,907.4,1249.7,11.3,19.19,48.06,995.98,1053.63,0.29,Bullish,45,"Near 52W low, Above 50 DMA"
SWANCORP,Chemicals,318.55,-1.47,295.65,526.59,7.75,39.51,39.26,336.21,418.52,0.85,Bearish,45,"Near 52W low, RSI weak/oversold"
SUPREMEIND,Capital Goods,3508.7,-0.01,3182.0,4699.79,10.27,25.34,34.34,3750.38,3863.42,0.26,Bearish,45,"Near 52W low, RSI weak/oversold"
SUNDARMFIN,Financial Services,4608.1,-0.43,4187.37,5642.0,10.05,18.33,43.63,4851.74,4835.85,0.37,Bearish,45,"Near 52W low, RSI weak/oversold"
SUNTV,Media Entertainment & Publication,535.15,2.27,477.21,660.7,12.14,19.0,34.84,592.29,566.61,1.2,Bearish,45,"Near 52W low, RSI weak/oversold"
SHREECEM,Construction Materials,24970.0,-0.22,22550.0,32398.19,10.73,22.93,51.5,24413.6,27193.23,0.28,Bullish,45,"Near 52W low, Above 50 DMA"
DALBHARAT,Construction Materials,1727.5,-2.11,1717.3,2491.62,0.59,30.67,31.65,1889.48,2100.39,0.59,Bearish,45,"Near 52W low, RSI weak/oversold"
CASTROLIND,Oil Gas & Consumable Fuels,181.44,-0.19,170.1,222.2,6.67,18.35,45.11,181.13,187.67,0.38,Bullish,45,"Near 52W low, Above 50 DMA"
RAMCOCEM,Construction Materials,916.25,-1.84,860.1,1214.5,6.53,24.56,37.48,969.35,1042.67,0.47,Bearish,45,"Near 52W low, RSI weak/oversold"
EMAMILTD,Fast Moving Consumer Goods,428.05,0.84,385.5,632.07,11.04,32.28,41.66,433.31,507.03,0.62,Bearish,45,"Near 52W low, RSI weak/oversold"
ICICIBANK,Financial Services,1244.5,-0.12,1187.6,1488.51,4.79,16.39,40.12,1286.48,1365.41,0.69,Bearish,45,"Near 52W low, RSI weak/oversold"
ICICIGI,Financial Services,1835.2,-0.74,1629.5,2064.9,12.62,11.12,55.06,1805.11,1893.94,0.48,Bullish,45,"Near 52W low, Above 50 DMA"
ETERNAL,Consumer Services,241.18,-1.89,212.6,368.45,13.44,34.54,44.66,241.52,289.05,0.42,Bearish,45,"Near 52W low, RSI weak/oversold"
JSWINFRA,Services,267.1,-0.17,233.42,349.0,14.43,23.47,46.77,263.16,282.15,0.62,Bullish,45,"Near 52W low, Above 50 DMA"
HINDUNILVR,Fast Moving Consumer Goods,2272.2,1.05,2022.5,2728.55,12.35,16.73,51.8,2205.41,2385.67,0.55,Bullish,45,"Near 52W low, Above 50 DMA"
NAUKRI,Consumer Services,928.1,-1.03,920.2,1540.07,0.86,39.74,34.5,988.63,1236.22,1.07,Bearish,45,"Near 52W low, RSI weak/oversold"
HONAUT,Capital Goods,28975.0,0.89,26220.0,41450.0,10.51,30.1,42.32,29700.1,33879.3,0.67,Bearish,45,"Near 52W low, RSI weak/oversold"
IRCTC,Consumer Services,535.95,-0.54,492.65,808.77,8.79,33.73,43.32,540.44,645.04,0.42,Bearish,45,"Near 52W low, RSI weak/oversold"
BHARTIHEXA,Telecommunication,1562.3,3.48,1439.3,2041.65,8.55,23.48,58.5,1532.87,1689.39,1.29,Bullish,45,"Near 52W low, Above 50 DMA"
BPCL,Oil Gas & Consumable Fuels,284.45,-3.58,266.6,391.65,6.7,27.37,38.4,305.3,329.9,1.3,Bearish,45,"Near 52W low, RSI weak/oversold"
IGIL,Services,326.65,0.25,284.8,435.36,14.69,24.97,39.7,337.81,337.7,0.68,Bearish,45,"Near 52W low, RSI weak/oversold"
IRFC,Financial Services,98.86,-1.33,87.0,146.15,13.63,32.36,41.12,99.49,114.57,0.99,Bearish,45,"Near 52W low, RSI weak/oversold"
IOB,Financial Services,33.79,-0.09,31.2,42.8,8.3,21.05,42.71,33.93,36.67,0.3,Bearish,45,"Near 52W low, RSI weak/oversold"
JKCEMENT,Construction Materials,5464.0,-1.04,4822.5,7565.5,13.3,27.78,49.78,5373.85,5942.14,0.36,Bullish,45,"Near 52W low, Above 50 DMA"
CEATLTD,Automobile and Auto Components,3212.2,-1.86,3000.5,4438.0,7.06,27.62,39.71,3466.64,3615.81,0.55,Bearish,45,"Near 52W low, RSI weak/oversold"
KOTAKBANK,Financial Services,387.05,1.0,345.5,453.2,12.03,14.6,57.89,376.88,407.17,0.98,Bullish,45,"Near 52W low, Above 50 DMA"
LICI,Financial Services,799.15,-0.73,721.5,967.18,10.76,17.37,48.83,795.91,856.14,1.22,Bullish,45,"Near 52W low, Above 50 DMA"
WIPRO,Information Technology,190.0,0.9,186.5,266.23,1.88,28.63,35.8,197.76,229.83,0.93,Bearish,45,"Near 52W low, RSI weak/oversold"
LEMONTREE,Consumer Services,111.23,-1.14,99.61,180.68,11.67,38.44,40.19,112.38,143.56,0.23,Bearish,45,"Near 52W low, RSI weak/oversold"
WHIRLPOOL,Consumer Durables,855.25,0.5,756.85,1468.14,13.0,41.75,38.41,881.96,1058.58,0.44,Bearish,45,"Near 52W low, RSI weak/oversold"
PERSISTENT,Information Technology,4702.1,1.58,4449.1,6575.41,5.69,28.49,38.78,4950.72,5531.81,1.04,Bearish,45,"Near 52W low, RSI weak/oversold"
PETRONET,Oil Gas & Consumable Fuels,263.6,-3.0,235.35,326.4,12.0,19.24,38.46,273.52,277.18,1.1,Bearish,45,"Near 52W low, RSI weak/oversold"
PGEL,Consumer Durables,487.1,-0.95,436.55,836.08,11.58,41.74,35.88,525.04,569.35,0.59,Bearish,45,"Near 52W low, RSI weak/oversold"
SRF,Chemicals,2689.5,-1.46,2355.0,3314.53,14.2,18.86,56.85,2539.1,2827.49,0.55,Bullish,45,"Near 52W low, Above 50 DMA"
GLAXO,Healthcare,2438.8,0.91,2217.6,3515.7,9.97,30.63,53.19,2409.35,2575.63,0.58,Bullish,45,"Near 52W low, Above 50 DMA"
IEX,Financial Services,125.27,-0.93,112.82,209.53,11.04,40.21,49.33,122.95,131.56,0.38,Bullish,45,"Near 52W low, Above 50 DMA"
GILLETTE,Fast Moving Consumer Goods,7806.5,-0.73,7206.0,11214.86,8.33,30.39,44.01,7884.16,8656.82,0.74,Bearish,45,"Near 52W low, RSI weak/oversold"
ITCHOTELS,Consumer Services,155.48,0.08,137.3,261.62,13.24,40.57,44.55,157.41,198.6,1.16,Bearish,45,"Near 52W low, RSI weak/oversold"
CENTRALBK,Financial Services,34.15,-1.33,30.8,40.26,10.89,15.18,42.06,34.9,36.12,0.63,Bearish,45,"Near 52W low, RSI weak/oversold"
CDSL,Financial Services,1186.7,-1.0,1116.3,1814.11,6.31,34.58,37.34,1246.16,1438.18,0.64,Bearish,45,"Near 52W low, RSI weak/oversold"
ESCORTS,Capital Goods,3000.2,0.03,2710.1,4159.02,10.7,27.86,39.54,3137.62,3490.17,1.19,Bearish,45,"Near 52W low, RSI weak/oversold"
RELIANCE,Oil Gas & Consumable Fuels,1336.4,-1.87,1290.0,1611.8,3.6,17.09,38.85,1379.58,1431.1,1.03,Bearish,45,"Near 52W low, RSI weak/oversold"
POONAWALLA,Financial Services,413.35,-1.75,361.2,570.4,14.44,27.53,44.42,414.52,451.54,0.5,Bearish,45,"Near 52W low, RSI weak/oversold"
RVNL,Construction,283.0,-1.46,248.0,444.08,14.11,36.27,42.68,283.24,318.75,0.57,Bearish,45,"Near 52W low, RSI weak/oversold"
HDFCBANK,Financial Services,767.5,-0.27,726.65,1020.5,5.62,24.79,44.45,796.01,927.48,0.7,Bearish,45,"Near 52W low, RSI weak/oversold"
PNB,Financial Services,102.05,-2.46,95.0,135.15,7.42,24.49,34.15,110.77,115.65,1.07,Bearish,45,"Near 52W low, RSI weak/oversold"
HCLTECH,Information Technology,1132.6,0.77,1103.4,1746.66,2.65,35.16,26.71,1298.26,1452.96,0.65,Bearish,45,"Near 52W low, RSI weak/oversold"
GODREJCP,Fast Moving Consumer Goods,1039.2,0.57,962.27,1291.23,7.99,19.52,44.89,1059.53,1147.18,0.88,Bearish,45,"Near 52W low, RSI weak/oversold"
HAVELLS,Consumer Durables,1209.6,-0.1,1142.5,1616.16,5.87,25.16,41.07,1272.17,1412.51,0.42,Bearish,45,"Near 52W low, RSI weak/oversold"
GODIGIT,Financial Services,310.7,-0.77,293.7,381.4,5.79,18.54,44.26,321.26,341.26,0.8,Bearish,45,"Near 52W low, RSI weak/oversold"
COROMANDEL,Chemicals,1865.8,0.3,1814.9,2708.22,2.8,31.11,33.74,1998.34,2216.59,0.93,Bearish,45,"Near 52W low, RSI weak/oversold"
ITC,Fast Moving Consumer Goods,309.45,0.73,287.0,427.21,7.82,27.56,53.83,304.16,359.69,0.71,Bullish,45,"Near 52W low, Above 50 DMA"
INDIAMART,Consumer Services,1956.5,-0.75,1925.6,2799.0,1.6,30.1,29.68,2081.03,2297.94,0.76,Bearish,45,"Near 52W low, RSI weak/oversold"
IRB,Construction,20.3,-0.44,19.15,27.01,6.01,24.84,34.25,21.15,21.32,0.84,Bearish,45,"Near 52W low, RSI weak/oversold"
BATAINDIA,Consumer Durables,694.1,-1.62,605.0,1290.87,14.73,46.23,39.23,706.13,956.67,0.79,Bearish,45,"Near 52W low, RSI weak/oversold"
SBICARD,Financial Services,626.0,-0.88,615.5,1023.66,1.71,38.85,34.34,672.98,799.93,0.23,Bearish,45,"Near 52W low, RSI weak/oversold"
SBFC,Financial Services,91.4,-0.45,79.6,123.0,14.82,25.69,44.46,91.52,101.95,0.36,Bearish,45,"Near 52W low, RSI weak/oversold"
SWIGGY,Consumer Services,255.4,-0.51,251.55,474.0,1.53,46.12,36.55,278.51,363.03,0.75,Bearish,45,"Near 52W low, RSI weak/oversold"
BAYERCROP,Chemicals,4349.8,-0.3,4273.0,6344.3,1.8,31.44,29.63,4636.99,4793.39,0.98,Bearish,45,"Near 52W low, RSI weak/oversold"
TEGA,Capital Goods,1585.3,0.55,1431.71,2125.0,10.73,25.4,39.34,1689.72,1838.13,0.67,Bearish,45,"Near 52W low, RSI weak/oversold"
TCS,Information Technology,2264.0,0.8,2206.4,3479.74,2.61,34.94,29.8,2457.04,2880.78,0.92,Bearish,45,"Near 52W low, RSI weak/oversold"
DIXON,Consumer Durables,10979.0,-1.12,9600.0,18471.0,14.36,40.56,50.77,10661.64,13594.64,0.91,Bullish,45,"Near 52W low, Above 50 DMA"
EIDPARRY,Fast Moving Consumer Goods,789.45,-0.85,750.95,1246.8,5.13,36.68,34.93,827.36,983.94,0.47,Bearish,45,"Near 52W low, RSI weak/oversold"
TATACAP,Financial Services,307.95,-0.61,300.15,367.3,2.6,16.16,36.93,321.71,,0.49,Bearish,45,"Near 52W low, RSI weak/oversold"
AMBUJACEM,Construction Materials,433.75,-2.29,394.0,624.95,10.09,30.59,44.73,442.0,529.01,0.76,Bearish,45,"Near 52W low, RSI weak/oversold"
MPHASIS,Information Technology,2083.2,-1.51,2013.0,3037.2,3.49,31.41,33.26,2222.17,2629.33,0.8,Bearish,45,"Near 52W low, RSI weak/oversold"
MSUMI,Automobile and Auto Components,40.07,0.07,35.7,53.59,12.24,25.23,48.06,39.6,43.63,0.31,Bullish,45,"Near 52W low, Above 50 DMA"
MRF,Automobile and Auto Components,128640.0,1.73,123455.0,163593.54,4.2,21.37,43.47,132327.1,145295.41,0.75,Bearish,45,"Near 52W low, RSI weak/oversold"
ZENSARTECH,Information Technology,488.4,0.71,481.2,879.31,1.5,44.46,33.35,545.07,687.33,0.76,Bearish,45,"Near 52W low, RSI weak/oversold"
JYOTICNC,Capital Goods,707.35,-1.88,686.75,1330.0,3.0,46.82,37.13,754.73,880.91,0.33,Bearish,45,"Near 52W low, RSI weak/oversold"
NHPC,Power,76.79,-2.12,71.62,90.16,7.22,14.83,38.86,78.26,79.31,0.63,Bearish,45,"Near 52W low, RSI weak/oversold"
3MINDIA,Diversified,31245.0,0.16,27360.02,38030.0,14.2,17.84,41.57,32308.2,32769.88,0.24,Bearish,45,"Near 52W low, RSI weak/oversold"
ACC,Construction Materials,1362.8,-1.12,1251.7,2028.8,8.88,32.83,41.36,1404.59,1692.85,0.47,Bearish,45,"Near 52W low, RSI weak/oversold"
ZYDUSWELL,Fast Moving Consumer Goods,502.15,-1.07,357.47,552.4,40.47,9.1,53.71,464.23,445.98,0.45,Bullish,40,"Above 50 DMA, Above 200 DMA"
360ONE,Financial Services,1093.8,-0.75,900.82,1260.04,21.42,13.19,57.16,1037.45,1084.65,0.56,Bullish,40,"Above 50 DMA, Above 200 DMA"
ABB,Capital Goods,6381.0,-0.75,4618.61,7790.64,38.16,18.09,37.06,6587.36,5569.16,0.47,Bearish,40,"RSI weak/oversold, Above 200 DMA"
AIAENG,Capital Goods,3856.3,0.04,2985.49,4206.1,29.17,8.32,48.84,3775.88,3584.67,0.4,Bullish,40,"Above 50 DMA, Above 200 DMA"
APLAPOLLO,Capital Goods,1890.2,0.01,1486.81,2301.4,27.13,17.87,41.31,1991.33,1856.76,0.47,Bearish,40,"RSI weak/oversold, Above 200 DMA"
AUBANK,Financial Services,990.5,-1.41,679.86,1079.55,45.69,8.25,47.41,962.24,894.79,0.76,Bullish,40,"Above 50 DMA, Above 200 DMA"
AARTIIND,Chemicals,466.25,-0.37,338.05,523.1,37.92,10.87,48.66,445.75,403.08,0.21,Bullish,40,"Above 50 DMA, Above 200 DMA"
KEI,Capital Goods,5117.5,-0.53,3391.98,5303.0,50.87,3.5,61.23,4635.94,4283.49,0.72,Bullish,40,"Above 50 DMA, Above 200 DMA"
NLCINDIA,Power,352.8,-4.88,216.34,387.8,63.08,9.03,65.81,286.84,259.16,1.18,Bullish,40,"Above 50 DMA, Above 200 DMA"
NMDC,Metals & Mining,91.41,-1.93,63.94,94.25,42.97,3.01,59.75,84.09,76.99,1.01,Bullish,40,"Above 50 DMA, Above 200 DMA"
NSLNISP,Metals & Mining,43.8,-3.05,33.01,49.65,32.69,11.78,57.89,39.79,41.42,1.14,Bullish,40,"Above 50 DMA, Above 200 DMA"
NTPCGREEN,Power,107.99,-1.39,84.0,119.95,28.56,9.97,51.13,102.06,98.25,0.41,Bullish,40,"Above 50 DMA, Above 200 DMA"
NTPC,Power,395.25,-0.26,313.09,414.4,26.24,4.62,52.04,386.44,347.72,0.8,Bullish,40,"Above 50 DMA, Above 200 DMA"
MCX,Financial Services,3391.0,1.55,1226.22,3423.0,176.54,0.93,81.19,2733.4,2139.88,1.25,Bullish,40,"Above 50 DMA, Above 200 DMA"
NATCOPHARM,Healthcare,1199.1,-0.44,786.24,1226.8,52.51,2.26,68.84,1058.15,915.52,0.88,Bullish,40,"Above 50 DMA, Above 200 DMA"
MANAPPURAM,Financial Services,307.45,-1.17,225.95,320.55,36.07,4.09,59.7,275.97,282.3,0.88,Bullish,40,"Above 50 DMA, Above 200 DMA"
MARICO,Fast Moving Consumer Goods,841.15,0.74,673.59,848.8,24.88,0.9,71.83,773.65,743.65,0.8,Bullish,40,"Above 50 DMA, Above 200 DMA"
MAZDOCK,Capital Goods,2481.8,-1.63,2057.4,3751.65,20.63,33.85,43.7,2470.36,2589.37,0.37,Bullish,40,"RSI weak/oversold, Above 50 DMA"
LLOYDSME,Metals & Mining,1734.0,-1.42,1042.9,1846.0,66.27,6.07,62.44,1478.76,1340.37,0.41,Bullish,40,"Above 50 DMA, Above 200 DMA"
LODHA,Realty,849.95,-2.62,650.8,1525.97,30.6,44.3,43.79,847.01,1065.67,0.48,Bullish,40,"RSI weak/oversold, Above 50 DMA"
AMBER,Consumer Durables,8476.5,2.27,5400.5,8974.0,56.96,5.54,61.15,7478.86,7357.44,1.3,Bullish,40,"Above 50 DMA, Above 200 DMA"
ANANDRATHI,Financial Services,3583.1,0.42,1756.54,3727.69,103.99,3.88,61.06,3349.46,3044.43,0.61,Bullish,40,"Above 50 DMA, Above 200 DMA"
ABSLAMC,Financial Services,1030.4,-3.54,658.51,1123.5,56.48,8.29,50.08,988.73,857.92,0.27,Bullish,40,"Above 50 DMA, Above 200 DMA"
ACUTAAS,Healthcare,2731.0,0.15,1057.92,2849.9,158.15,4.17,61.54,2402.62,1821.3,0.36,Bullish,40,"Above 50 DMA, Above 200 DMA"
ADANIENSOL,Power,1303.6,-1.18,744.9,1463.65,75.0,10.93,53.19,1151.74,980.28,1.0,Bullish,40,"Above 50 DMA, Above 200 DMA"
ADANIPOWER,Power,221.33,-1.41,105.42,234.4,109.95,5.58,61.88,181.83,151.01,1.14,Bullish,40,"Above 50 DMA, Above 200 DMA"
TIMKEN,Capital Goods,3531.2,0.46,2800.5,3679.6,26.09,4.03,53.69,3420.39,3148.66,0.25,Bullish,40,"Above 50 DMA, Above 200 DMA"
TITAN,Consumer Durables,4169.1,0.82,3303.1,4605.0,26.22,9.47,43.31,4257.8,3916.45,0.61,Bearish,40,"RSI weak/oversold, Above 200 DMA"
TORNTPHARM,Healthcare,4405.7,0.04,3075.03,4555.1,43.27,3.28,58.77,4249.51,3871.27,1.08,Bullish,40,"Above 50 DMA, Above 200 DMA"
TORNTPOWER,Power,1466.0,0.57,1175.82,1824.1,24.68,19.63,35.4,1530.31,1365.41,0.41,Bearish,40,"RSI weak/oversold, Above 200 DMA"
TATACONSUM,Fast Moving Consumer Goods,1234.0,0.46,1007.2,1282.7,22.52,3.8,65.53,1116.57,1133.37,1.04,Bullish,40,"Above 50 DMA, Above 200 DMA"
THERMAX,Capital Goods,4500.4,-2.12,2742.7,4880.0,64.09,7.78,65.26,3697.28,3275.28,0.3,Bullish,40,"Above 50 DMA, Above 200 DMA"
TATAPOWER,Power,407.0,-0.21,342.5,464.9,18.83,12.45,38.94,409.09,390.1,0.56,Bearish,40,"RSI weak/oversold, Above 200 DMA"
SYRMA,Capital Goods,1013.25,-1.5,499.08,1188.0,103.03,14.71,55.25,887.04,807.85,0.51,Bullish,40,"Above 50 DMA, Above 200 DMA"
TATACOMM,Telecommunication,1680.0,1.44,1322.5,2004.0,27.03,16.17,66.69,1502.21,1671.5,0.87,Bullish,40,"Above 50 DMA, Above 200 DMA"
MAHABANK,Financial Services,78.02,-0.61,49.37,85.9,58.03,9.17,51.91,72.05,61.96,0.33,Bullish,40,"Above 50 DMA, Above 200 DMA"
BELRISE,Automobile and Auto Components,209.46,-0.1,88.81,228.8,135.85,8.45,49.1,201.38,169.74,1.19,Bullish,40,"Above 50 DMA, Above 200 DMA"
BERGEPAINT,Consumer Durables,533.45,-0.08,391.1,600.97,36.4,11.23,71.12,452.23,510.63,0.5,Bullish,40,"Above 50 DMA, Above 200 DMA"
DEEPAKNTR,Chemicals,1826.4,-0.75,1280.0,2165.04,42.69,15.64,68.83,1560.9,1673.65,0.43,Bullish,40,"Above 50 DMA, Above 200 DMA"
DIVISLAB,Healthcare,6760.5,-2.33,5636.5,7039.45,19.94,3.96,64.06,6290.23,6298.51,1.11,Bullish,40,"Above 50 DMA, Above 200 DMA"
LALPATHLAB,Healthcare,1602.9,0.17,1272.6,1761.62,25.95,9.01,63.13,1416.4,1496.12,0.66,Bullish,40,"Above 50 DMA, Above 200 DMA"
DRREDDY,Healthcare,1336.7,2.54,1148.4,1375.9,16.4,2.85,59.87,1276.34,1259.5,1.21,Bullish,40,"Above 50 DMA, Above 200 DMA"
RKFORGE,Automobile and Auto Components,573.95,-1.25,459.41,690.39,24.93,16.87,49.31,550.24,546.59,0.23,Bullish,40,"Above 50 DMA, Above 200 DMA"
RBLBANK,Financial Services,338.1,0.27,203.16,349.9,66.42,3.37,57.35,314.88,299.8,0.59,Bullish,40,"Above 50 DMA, Above 200 DMA"
RHIM,Capital Goods,388.3,-1.58,323.05,534.89,20.2,27.41,43.91,387.78,444.5,0.91,Bullish,40,"RSI weak/oversold, Above 50 DMA"
RITES,Construction,211.21,-1.05,175.0,306.23,20.69,31.03,44.75,206.61,231.13,0.49,Bullish,40,"RSI weak/oversold, Above 50 DMA"
RADICO,Fast Moving Consumer Goods,3499.2,1.1,2431.97,3591.9,43.88,2.58,68.17,2994.15,2992.56,0.95,Bullish,40,"Above 50 DMA, Above 200 DMA"
RAINBOW,Healthcare,1336.2,1.52,1084.0,1645.7,23.27,18.81,65.59,1221.72,1323.94,0.91,Bullish,40,"Above 50 DMA, Above 200 DMA"
POLYCAB,Capital Goods,9152.5,-0.71,5727.95,9267.5,59.79,1.24,70.98,7895.09,7529.47,0.4,Bullish,40,"Above 50 DMA, Above 200 DMA"
PFC,Financial Services,445.75,-1.26,324.11,486.5,37.53,8.38,49.08,431.14,391.95,0.49,Bullish,40,"Above 50 DMA, Above 200 DMA"
PREMIERENE,Capital Goods,981.6,0.43,666.41,1162.18,47.3,15.54,50.14,922.61,932.27,0.59,Bullish,40,"Above 50 DMA, Above 200 DMA"
PRESTIGE,Realty,1342.2,-2.01,1090.0,1811.91,23.14,25.92,43.73,1327.06,1533.45,0.38,Bullish,40,"RSI weak/oversold, Above 50 DMA"
RRKABEL,Capital Goods,1953.8,-4.1,1161.67,2049.0,68.19,4.65,71.77,1523.62,1395.71,0.52,Bullish,40,"Above 50 DMA, Above 200 DMA"
PHOENIXLTD,Realty,1738.5,-1.24,1400.25,1993.0,24.16,12.77,48.11,1678.08,1674.37,0.4,Bullish,40,"Above 50 DMA, Above 200 DMA"
PIDILITIND,Chemicals,1467.7,-1.09,1259.0,1574.95,16.58,6.81,60.89,1380.02,1462.19,0.83,Bullish,40,"Above 50 DMA, Above 200 DMA"
HDFCAMC,Financial Services,2703.5,0.44,2205.6,2967.25,22.57,8.89,51.11,2575.9,2692.51,0.48,Bullish,40,"Above 50 DMA, Above 200 DMA"
HFCL,Telecommunication,147.89,-2.44,59.82,155.3,147.23,4.77,77.65,93.98,76.96,0.38,Bullish,40,"Above 50 DMA, Above 200 DMA"
GRAVITA,Metals & Mining,1688.1,-0.22,1266.9,2170.0,33.25,22.21,54.59,1549.67,1665.15,0.67,Bullish,40,"Above 50 DMA, Above 200 DMA"
FLUOROCHEM,Chemicals,3713.5,0.6,2916.6,4046.8,27.32,8.24,63.86,3362.64,3478.22,0.27,Bullish,40,"Above 50 DMA, Above 200 DMA"
GMDCLTD,Metals & Mining,652.6,-1.64,314.59,771.9,107.44,15.46,45.87,624.68,557.48,0.8,Bullish,40,"Above 50 DMA, Above 200 DMA"
GPIL,Capital Goods,287.9,-0.47,174.51,312.75,64.97,7.95,47.22,279.88,254.95,0.47,Bullish,40,"Above 50 DMA, Above 200 DMA"
GODREJIND,Diversified,1135.05,-1.57,744.2,1390.0,52.52,18.34,62.68,932.33,1047.48,0.32,Bullish,40,"Above 50 DMA, Above 200 DMA"
GODREJPROP,Realty,1714.1,-1.12,1434.0,2506.5,19.53,31.61,44.15,1698.03,1931.27,0.39,Bullish,40,"RSI weak/oversold, Above 50 DMA"
GRANULES,Healthcare,736.2,0.12,432.6,761.4,70.18,3.31,68.78,647.21,571.7,0.4,Bullish,40,"Above 50 DMA, Above 200 DMA"
GABRIEL,Automobile and Auto Components,1091.0,-0.59,579.76,1385.5,88.18,21.26,63.57,957.38,1059.61,0.32,Bullish,40,"Above 50 DMA, Above 200 DMA"
GRSE,Capital Goods,2685.9,-0.72,1963.7,3513.72,36.78,23.56,46.25,2570.02,2539.62,0.47,Bullish,40,"Above 50 DMA, Above 200 DMA"
GLAND,Healthcare,1868.3,-1.58,1438.8,2111.33,29.85,11.51,57.43,1740.36,1824.56,1.0,Bullish,40,"Above 50 DMA, Above 200 DMA"
GLENMARK,Healthcare,2325.9,-0.63,1366.65,2474.0,70.19,5.99,53.42,2230.35,2041.88,0.36,Bullish,40,"Above 50 DMA, Above 200 DMA"
INDIANB,Financial Services,820.6,-1.34,563.78,1000.9,45.55,18.01,37.35,893.1,817.31,0.82,Bearish,40,"RSI weak/oversold, Above 200 DMA"
IFCI,Financial Services,63.29,-2.78,44.11,74.5,43.48,15.05,57.84,57.19,55.66,0.79,Bullish,40,"Above 50 DMA, Above 200 DMA"
IRCON,Construction,142.64,-2.06,114.5,222.46,24.58,35.88,43.34,139.72,158.39,0.43,Bullish,40,"RSI weak/oversold, Above 50 DMA"
DEEPAKFERT,Chemicals,1318.5,1.47,866.4,1765.95,52.18,25.34,62.57,1103.69,1278.6,0.94,Bullish,40,"Above 50 DMA, Above 200 DMA"
CAMS,Financial Services,784.0,-0.24,611.4,860.94,28.23,8.94,57.27,709.59,741.31,0.5,Bullish,40,"Above 50 DMA, Above 200 DMA"
CONCOR,Services,518.8,-0.79,421.45,641.23,23.1,19.09,57.13,483.49,513.33,0.42,Bullish,40,"Above 50 DMA, Above 200 DMA"
CRAFTSMAN,Automobile and Auto Components,8462.5,-1.22,5095.71,9738.0,66.07,13.1,63.09,7495.12,7163.02,0.27,Bullish,40,"Above 50 DMA, Above 200 DMA"
CREDITACC,Financial Services,1315.2,-0.87,1083.9,1568.0,21.34,16.12,48.41,1251.94,1308.23,0.23,Bullish,40,"Above 50 DMA, Above 200 DMA"
CUMMINSIND,Capital Goods,5392.0,0.47,2836.33,5470.5,90.11,1.43,62.73,4947.5,4344.68,0.99,Bullish,40,"Above 50 DMA, Above 200 DMA"
CUB,Financial Services,250.65,1.56,185.3,324.1,35.26,22.66,42.84,255.1,249.99,0.41,Bearish,40,"RSI weak/oversold, Above 200 DMA"
CLEAN,Chemicals,766.65,-6.28,652.0,1590.61,17.58,51.8,43.46,756.68,928.38,0.56,Bullish,40,"RSI weak/oversold, Above 50 DMA"
COALINDIA,Oil Gas & Consumable Fuels,462.2,1.79,345.88,491.25,33.63,5.91,52.11,454.08,403.03,0.71,Bullish,40,"Above 50 DMA, Above 200 DMA"
COLPAL,Fast Moving Consumer Goods,2160.0,0.62,1782.0,2688.8,21.21,19.67,58.37,2038.69,2155.37,0.77,Bullish,40,"Above 50 DMA, Above 200 DMA"
FINCABLES,Capital Goods,1050.9,-2.18,700.8,1172.8,49.96,10.39,59.1,930.09,830.39,0.38,Bullish,40,"Above 50 DMA, Above 200 DMA"
