symbol,sector,current_price,52w_low,52w_high,distance_pct,rsi,trend,score
RELIANCE,Others,1358.8,1290.0,1611.8,5.33,42.69,Bearish,50
TCS,Others,2272.8,2269.0,3501.97,0.17,28.41,Bearish,50
INFY,Others,1123.1,1121.0,1728.0,0.19,30.45,Bearish,50
HDFCBANK,Others,749.6,726.65,1020.5,3.16,37.19,Bearish,50
ICICIBANK,Others,1235.6,1187.6,1488.51,4.04,37.26,Bearish,50
LT,Others,3915.8,3288.1,4440.0,19.09,47.04,Bullish,50
MARUTI,Others,13103.0,11887.34,17370.0,10.23,44.35,Bearish,50
BAJFINANCE,Others,896.15,787.9,1102.5,13.74,42.25,Bearish,50
SUNPHARMA,Others,1824.8,1538.01,1885.8,18.65,58.25,Bullish,50
WIPRO,Others,187.8,186.5,266.23,0.7,30.62,Bearish,50
PIDILITIND,Others,1445.6,1259.0,1574.95,14.82,59.12,Bullish,50
AXISBANK,Others,1255.7,1042.5,1418.3,20.45,41.57,Bearish,25
SBIN,Others,970.1,778.86,1234.7,24.55,30.85,Bearish,25
ITC,Others,304.45,287.0,427.21,6.08,47.3,Bearish,25
TITAN,Others,4090.7,3303.1,4605.0,23.84,38.59,Bearish,25
ASIANPAINT,Others,2617.6,2115.0,2985.7,23.76,65.07,Bullish,25
KOTAKBANK,Others,377.65,345.5,453.2,9.31,49.72,Bearish,25
ULTRACEMCO,Others,11573.0,10325.0,13110.0,12.09,45.48,Bearish,25
NTPC,Others,390.45,313.09,414.4,24.71,47.34,Bullish,25
POWERGRID,Others,301.5,247.22,324.95,21.95,36.02,Bearish,25
NESTLEIND,Others,1468.9,1078.87,1498.1,36.15,72.74,Bullish,25
ONGC,Others,297.15,219.43,307.5,35.42,60.08,Bullish,25
HAL,Others,4618.5,3479.1,5105.25,32.75,63.06,Bullish,25
BEL,Others,428.25,320.69,473.45,33.54,44.9,Bearish,25
DMART,Others,4334.7,3600.0,4949.5,20.41,46.88,Bullish,25
TRENT,Others,4084.5,3275.5,6261.0,24.7,49.48,Bullish,25
ADANIPORTS,Others,1737.8,1290.5,1792.0,34.66,64.79,Bullish,25
ADANIENT,Others,2498.0,1753.0,2695.0,42.5,65.85,Bullish,25
COALINDIA,Others,462.25,345.88,491.25,33.64,52.21,Bullish,25
TATASTEEL,Others,219.62,145.61,220.91,50.82,64.66,Bullish,25
