scan_time,symbol,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons,sector,industry,technical_score,technical_reasons,fundamental_scan_time,company_name,sector_yf,industry_yf,market_cap,market_cap_cr,trailing_pe,forward_pe,price_to_book,debt_to_equity,roe,roa,operating_margin,net_profit_margin,gross_margin,revenue_growth,earnings_growth,current_ratio,quick_ratio,total_cash,total_cash_cr,total_debt,total_debt_cr,free_cashflow,free_cashflow_cr,operating_cashflow,operating_cashflow_cr,dividend_yield,beta,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_risk_penalty,fundamental_score,sector_fundamental_adjustment,sector_adjusted_fundamental_score,fundamental_reasons,fundamental_risks,active_fundamental_score,relative_scan_time,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank,sector_count,sector_rank_pct,sector_score,risk_reasons,final_conviction_score,score_band,range_scan_time,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
07.09.2026 at 10:01 AM IST,INDOBORAX,540.6,4.99,206.58,541.0,161.7,0.07,70.21,431.9,295.92,614055.2,127402.0,0.21,Bullish,30,5,0,0,0,35,67.49,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI",Basic Materials,Chemicals,52,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,Indo Borax & Chemicals Limited,Basic Materials,Chemicals,16430080000.0,1643.01,29.16,,4.25,0.37,13.93,7.44,26.24,23.33,46.44,25.2,42.0,20.85,14.24,2113137024.0,211.31,14300000.0,1.43,178776128.0,17.88,871505984.0,87.15,1.94,0.86,CHEMICALS,18.0,20.0,20.0,20.0,7.0,0.0,85.0,11.0,96.0,"Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Positive operating cash flow, Positive free cash flow, Cash flow supports profitability, Strong chemical margin, Chemical revenue growth support, Controlled chemical debt",,96.0,07.09.2026 at 10:05 AM IST,25.62,63.95,141.67,,,,0,0,0,65,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",1.0,328,0.3,30.92,Low volume participation,67.49,A Strong,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,50.0,246.68,488.17,240.31,542.55,97.9,125.77,100.0,-9.14,54.09,80.0,18.0,15.0,87.5,20.0,5.0,70.0,86.82,76.83,0.24,117.8,10.05,False,False,80.0% closes stayed inside robust range | Range width is 97.9% | Current position is 100.0% inside range | Upside to range high is -9.1% | Downside to range low is 54.1% | Stock is near upper band
07.09.2026 at 10:01 AM IST,CASTROLIND,189.6,-0.35,164.6,198.23,15.19,4.35,65.5,182.64,177.95,1844619.15,516523.0,0.28,Bullish,30,20,15,0,0,65,65.37,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential",Energy,Oil & Gas Refining & Marketing,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone",06.09.2026 at 01:31 PM IST,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,188239872000.0,18823.99,17.74,16.1,9.88,2.78,57.0,24.88,24.78,17.07,49.34,25.0,42.1,1.51,0.85,8628799488.0,862.88,531500000.0,53.15,7049650176.0,704.97,9854600192.0,985.46,6.57,0.31,ENERGY_UTILITIES,23.0,20.0,16.0,20.0,11.0,0.0,90.0,7.0,97.0,"Strong ROE, Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Positive operating cash flow, Positive free cash flow, Cash flow supports profitability, Forward PE improving, Energy cashflow support, Energy dividend support",,97.0,07.09.2026 at 10:05 AM IST,1.36,7.66,8.47,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",7.0,30,23.33,37.78,Low volume participation,65.37,A Strong,07.09.2026 at 10:07 AM IST,Too Narrow Range,45.0,179.42,187.43,170.1,195.0,4.47,14.64,100.0,-1.14,5.37,80.83,70.0,101.0,89.58,8.16,5.0,85.0,86.53,60.89,0.28,5.67,1.16,False,False,80.8% closes stayed inside robust range | Range width is 4.5% | Current position is 100.0% inside range | Upside to range high is -1.1% | Downside to range low is 5.4% | Stock is near upper band
07.09.2026 at 10:01 AM IST,CRISIL,4814.0,0.25,3669.91,5038.99,31.18,4.46,66.41,4396.47,4289.18,52384.75,5304.0,0.1,Bullish,30,20,0,0,0,50,64.18,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Financial Services,Financial Data & Stock Exchanges,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,CRISIL Limited,Financial Services,Financial Data & Stock Exchanges,350292770816.0,35029.28,39.58,31.82,10.71,10.23,29.05,14.87,24.68,21.43,47.0,27.6,26.2,1.87,1.4,9163100160.0,916.31,3346599936.0,334.66,5070512640.0,507.05,8651100160.0,865.11,83.0,0.18,FINANCIAL,24.0,20.0,18.0,20.0,7.0,5.0,84.0,5.0,89.0,"Strong ROE, Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Positive operating cash flow, Positive free cash flow, Cash flow supports profitability, Forward PE improving, Strong financial ROE, Strong financial earnings growth","Expensive price-to-book, Abnormally high dividend yield, Expensive financial P/B",89.0,07.09.2026 at 10:05 AM IST,3.63,23.52,14.67,,,,0,0,0,48,"Positive 1M return, Strong 3M absolute return, Positive 6M return, Positive across 1M/3M/6M",4.0,215,1.86,31.84,Low volume participation,64.18,B Watchlist,07.09.2026 at 10:07 AM IST,Profit Booking Zone,66.0,3887.36,4513.51,3686.0,4872.0,16.11,32.18,100.0,-6.19,19.21,80.0,30.0,31.0,87.5,100.0,5.0,70.0,82.51,74.97,0.11,23.77,6.6,False,False,80.0% closes stayed inside robust range | Range width is 16.1% | Current position is 100.0% inside range | Upside to range high is -6.2% | Downside to range low is 19.2% | Stock is near upper band
07.09.2026 at 10:01 AM IST,OFSS,11854.0,-1.69,6060.86,12540.0,95.58,5.47,51.46,11555.69,8879.46,212572.85,43986.0,0.21,Bullish,30,20,0,0,0,50,64.17,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Technology,Software - Infrastructure,60,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",06.09.2026 at 01:31 PM IST,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,1050048331776.0,105004.83,30.86,26.6,15.16,0.57,49.9,30.94,59.57,38.15,58.6,68.7,120.2,4.41,3.95,47734001664.0,4773.4,393000000.0,39.3,30884249600.0,3088.42,36011999232.0,3601.2,5.52,0.51,IT_TECH,25.0,20.0,20.0,20.0,9.0,0.0,94.0,14.0,100.0,"Strong ROE, Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Positive operating cash flow, Positive free cash flow, Cash flow supports profitability, Forward PE improving, Strong tech ROE, Strong tech operating margin, Positive tech free cash flow",Expensive price-to-book,100.0,07.09.2026 at 10:05 AM IST,-0.29,27.95,78.7,,,,0,0,0,40,"Strong 3M absolute return, Strong 6M absolute return",5.0,153,3.27,27.83,Low volume participation,64.17,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,49.99,7178.45,11807.1,6314.5,12540.0,64.48,98.59,100.0,-0.34,39.41,80.0,16.0,32.0,87.5,20.0,5.0,65.0,87.46,55.03,0.21,65.04,0.34,False,False,80.0% closes stayed inside robust range | Range width is 64.5% | Current position is 100.0% inside range | Upside to range high is -0.3% | Downside to range low is 39.4% | Stock is near upper band
07.09.2026 at 10:01 AM IST,ANTELOPUS,962.3,0.54,357.0,1075.1,169.55,10.49,65.4,832.34,647.18,1927580.5,265417.0,0.14,Bullish,30,20,0,0,0,50,60.12,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Energy,Oil & Gas E&P,55,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Positive day move",06.09.2026 at 01:31 PM IST,Antelopus Selan Energy Limited,Energy,Oil & Gas E&P,33369079808.0,3336.91,25.29,,5.09,0.54,14.7,9.3,47.98,32.13,82.16,65.3,158.9,2.75,2.04,687900032.0,68.79,35500000.0,3.55,-1168062464.0,-116.81,1206000000.0,120.6,,,ENERGY_UTILITIES,20.0,20.0,20.0,12.0,6.0,5.0,73.0,4.0,77.0,"Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Positive operating cash flow, Cash flow supports profitability, Energy cashflow support",Negative free cash flow,77.0,07.09.2026 at 10:05 AM IST,20.96,11.45,65.68,,,,0,0,0,55,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, Positive across 1M/3M/6M",3.0,30,10.0,37.78,"Low volume participation, Negative free cash flow",60.12,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,48.98,593.92,871.98,504.0,1075.1,46.82,113.31,100.0,-9.35,38.26,80.0,14.0,23.0,87.5,20.0,5.0,70.0,75.69,63.43,0.16,61.96,10.31,False,False,80.0% closes stayed inside robust range | Range width is 46.8% | Current position is 100.0% inside range | Upside to range high is -9.3% | Downside to range low is 38.3% | Stock is near upper band
07.09.2026 at 10:01 AM IST,MSTCLTD,750.85,2.27,362.15,764.95,107.33,1.84,64.22,659.14,518.77,440955.1,203157.0,0.46,Bullish,30,20,0,0,0,50,58.83,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Industrials,Conglomerates,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,MSTC Limited,Industrials,Conglomerates,51814400000.0,5181.44,22.13,,5.73,16.04,,,58.12,60.63,100.0,21.7,37.6,,,13275807744.0,1327.58,1450019968.0,145.0,,0.0,,0.0,2.14,0.55,CAPITAL_GOODS_INFRA,12.0,18.0,12.0,0.0,8.0,0.0,50.0,12.0,62.0,"Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Strong capital goods revenue growth, Strong capital goods earnings growth, Manageable capital goods debt",,62.0,07.09.2026 at 10:05 AM IST,30.36,35.35,78.15,,,,0,0,0,65,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",1.0,415,0.24,30.85,Low volume participation,58.83,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,47.9,417.05,715.71,362.15,764.95,71.61,111.22,100.0,-5.83,45.13,80.0,24.0,20.0,87.5,20.0,5.0,70.0,68.49,63.54,0.5,82.23,6.19,False,False,80.0% closes stayed inside robust range | Range width is 71.6% | Current position is 100.0% inside range | Upside to range high is -5.8% | Downside to range low is 45.1% | Stock is near upper band
07.09.2026 at 10:01 AM IST,TALBROAUTO,434.15,6.47,219.9,451.6,97.43,3.86,61.81,411.78,320.82,183208.1,963551.0,5.26,Bullish,30,20,0,15,0,65,58.7,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion",Consumer Cyclical,Auto Parts,80,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Positive day move",06.09.2026 at 01:31 PM IST,Talbros Automotive Components Limited,Consumer Cyclical,Auto Parts,25185085440.0,2518.51,22.49,,3.39,11.27,,,12.84,12.41,48.52,15.3,35.0,,,1137810944.0,113.78,836984000.0,83.7,,0.0,,0.0,18.0,0.42,AUTO,8.0,18.0,12.0,0.0,8.0,0.0,46.0,10.0,56.0,"Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Auto revenue growth support, Healthy auto margin, Manageable auto debt",,56.0,07.09.2026 at 10:05 AM IST,3.68,22.63,77.17,,,,0,0,0,58,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",2.0,375,0.53,30.64,,58.7,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,50.0,253.44,418.51,219.9,451.6,65.13,105.37,100.0,-3.93,41.83,80.0,14.0,40.0,87.5,20.0,5.0,87.0,65.75,54.7,5.36,71.9,4.1,False,True,80.0% closes stayed inside robust range | Range width is 65.1% | Current position is 100.0% inside range | Upside to range high is -3.9% | Downside to range low is 41.8% | Price is above upper range with elevated volume | Stock is near upper band | RSI is in a reasonable range-bound zone
07.09.2026 at 10:01 AM IST,MARKSANS,329.65,0.89,154.57,344.55,113.26,4.32,62.92,287.21,216.06,6368298.0,502280.0,0.08,Bullish,30,20,0,0,0,50,58.67,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Healthcare,Drug Manufacturers - General,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,Marksans Pharma Limited,Healthcare,Drug Manufacturers - General,148547076096.0,14854.71,28.75,23.3,4.91,11.25,,,22.38,16.29,55.24,35.6,169.0,,,9908809728.0,990.88,3433789952.0,343.38,,0.0,,0.0,28.0,1.15,PHARMA_HEALTHCARE,10.0,20.0,12.0,0.0,11.0,5.0,48.0,11.0,59.0,"Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Forward PE improving, Strong healthcare margin, Healthcare growth support, Controlled healthcare debt",Abnormally high dividend yield,59.0,07.09.2026 at 10:05 AM IST,21.68,32.21,89.77,,,,0,0,0,65,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",1.0,148,0.68,36.83,Low volume participation,58.67,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,50.0,174.15,322.55,155.0,345.5,85.22,122.9,100.0,-2.12,47.16,80.0,20.0,17.0,87.5,20.0,5.0,90.0,67.08,52.4,0.08,89.24,2.17,False,False,80.0% closes stayed inside robust range | Range width is 85.2% | Current position is 100.0% inside range | Upside to range high is -2.1% | Downside to range low is 47.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
07.09.2026 at 10:01 AM IST,GNFC,599.0,0.39,365.0,619.0,64.11,3.23,65.84,542.61,493.77,648083.85,564074.0,0.87,Bullish,30,20,0,0,0,50,57.79,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Basic Materials,Chemicals,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials,Chemicals,87870529536.0,8787.05,8.47,9.54,0.96,0.07,,,14.16,12.33,30.42,39.8,275.6,,,18040000512.0,1804.0,60000000.0,6.0,,0.0,,0.0,3.52,0.21,CHEMICALS,8.0,20.0,12.0,0.0,12.0,0.0,52.0,7.0,59.0,"Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Chemical revenue growth support, Controlled chemical debt",,59.0,07.09.2026 at 10:05 AM IST,10.28,22.11,38.31,,,,0,0,0,65,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",1.0,328,0.3,30.92,,57.79,B Watchlist,07.09.2026 at 10:07 AM IST,Profit Booking Zone,58.14,420.47,580.19,365.0,619.0,37.99,69.59,100.0,-3.27,29.9,80.0,15.0,19.0,87.5,50.0,5.0,100.0,66.78,44.25,0.92,42.65,3.38,False,False,80.0% closes stayed inside robust range | Range width is 38.0% | Current position is 100.0% inside range | Upside to range high is -3.3% | Downside to range low is 29.9% | Stock is near upper band | RSI is in a reasonable range-bound zone
07.09.2026 at 10:01 AM IST,MANALIPETC,87.06,0.35,39.13,90.89,122.49,4.21,69.48,68.93,60.27,10701276.85,1043807.0,0.1,Bullish,30,20,0,0,0,50,57.79,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",Basic Materials,Specialty Chemicals,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",06.09.2026 at 01:31 PM IST,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,14886534144.0,1488.65,8.27,,1.16,10.69,,,26.87,16.94,28.42,17.1,350.6,,,6053100032.0,605.31,1370000000.0,137.0,,0.0,,0.0,58.0,0.46,CHEMICALS,11.0,18.0,12.0,0.0,12.0,5.0,48.0,11.0,59.0,"Strong operating margin, Strong revenue growth, Strong earnings growth, Cash covers debt, Low debt, Strong chemical margin, Chemical revenue growth support, Controlled chemical debt",Abnormally high dividend yield,59.0,07.09.2026 at 10:05 AM IST,35.32,47.04,73.02,,,,0,0,0,65,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",1.0,328,0.3,30.92,Low volume participation,57.79,B Watchlist,07.09.2026 at 10:07 AM IST,Wide / Volatile Range,47.64,49.04,72.86,39.13,90.89,48.56,132.28,100.0,-16.26,43.63,80.0,13.0,15.0,87.5,20.0,5.0,70.0,66.78,69.89,0.1,77.4,19.41,False,False,80.0% closes stayed inside robust range | Range width is 48.6% | Current position is 100.0% inside range | Upside to range high is -16.3% | Downside to range low is 43.6% | Stock is near upper band
