scan_time,symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,score,reasons
16.05.2026 at 07:45 AM IST,EPL,Unknown,215.29,-6.13,176.4,248.04,22.05,13.2,41.71,215.05,212.31,1010310.75,3709695.0,3.67,Bullish,75,"RSI weak/oversold, Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,NAVA,Power,628.5,-10.67,442.6,739.4,42.0,15.0,41.86,617.88,601.98,831711.4,3121477.0,3.75,Bullish,75,"RSI weak/oversold, Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,PTL,Unknown,39.87,-1.51,36.06,44.01,10.58,9.4,53.54,38.56,38.41,59086.25,29908.0,0.51,Bullish,65,"Near 52W low, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,RECLTD,Financial Services,345.85,-0.7,304.05,406.72,13.75,14.97,42.94,345.5,355.02,6849409.3,3222539.0,0.47,Bullish,65,"Near 52W low, RSI weak/oversold, Above 50 DMA"
16.05.2026 at 07:45 AM IST,PRAKASHSTL,Unknown,4.41,0.0,3.84,6.95,14.84,36.55,43.24,4.4,4.91,135443.45,97681.0,0.72,Bullish,65,"Near 52W low, RSI weak/oversold, Above 50 DMA"
16.05.2026 at 07:45 AM IST,TOUCHWOOD,Unknown,72.32,-0.88,63.0,136.59,14.79,47.05,43.57,72.14,93.49,7211.15,616.0,0.09,Bullish,65,"Near 52W low, RSI weak/oversold, Above 50 DMA"
16.05.2026 at 07:45 AM IST,SWARAJENG,Unknown,3760.8,-0.98,3301.3,4720.0,13.92,20.32,42.41,3727.53,3856.32,15413.75,6233.0,0.4,Bullish,65,"Near 52W low, RSI weak/oversold, Above 50 DMA"
16.05.2026 at 07:45 AM IST,GICRE,Financial Services,387.45,1.18,350.25,434.81,10.62,10.89,47.12,382.64,377.82,400505.85,378500.0,0.95,Bullish,65,"Near 52W low, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,KMSUGAR,Unknown,28.0,-0.07,23.3,33.73,20.17,16.99,43.48,27.47,27.17,292149.4,90401.0,0.31,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,GALLANTT,Capital Goods,744.9,-3.08,422.26,948.0,76.41,21.42,42.58,696.42,630.01,1208431.55,353939.0,0.29,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,FEDERALBNK,Financial Services,281.3,0.37,184.0,302.0,52.88,6.85,43.66,281.09,248.24,8249648.65,6034270.0,0.73,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
