scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
28.08.2026 at 01:52 AM IST,LICHSGFIN,Financial Services,Unknown,524.4,3.64,449.87,586.43,16.57,10.58,60.14,522.29,523.59,2368738.8,6509187.0,2.75,Bullish,30,20,15,15,0,80,80,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Strong volume expansion"
28.08.2026 at 01:52 AM IST,BOROLTD,Unknown,Unknown,255.35,-2.33,213.73,397.95,19.47,35.83,58.51,240.27,254.94,1092137.15,1640304.0,1.5,Bullish,30,20,15,10,0,75,75,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Volume expansion"
28.08.2026 at 01:52 AM IST,GROBTEA,Unknown,Unknown,1017.15,5.17,803.25,1233.51,26.63,17.54,69.55,918.51,937.47,343.25,2262.0,6.59,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,IGIL,Services,Unknown,347.85,1.13,282.67,386.09,23.06,9.9,52.15,346.98,334.88,663144.1,1578588.0,2.38,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,PUNJABCHEM,Unknown,Unknown,1119.0,2.6,874.34,1529.94,27.98,26.86,50.03,1108.28,1113.54,25366.3,62029.0,2.45,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,CDSL,Financial Services,Unknown,1434.0,2.81,1106.21,1658.57,29.63,13.54,68.79,1350.28,1340.68,1339920.75,3818012.0,2.85,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,MAHSCOOTER,Unknown,Unknown,13662.0,3.37,10848.18,18282.17,25.94,25.27,58.91,13050.19,13146.99,5011.7,18050.0,3.6,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,ASIANHOTNR,Unknown,Unknown,306.7,2.46,247.5,402.55,23.92,23.81,52.09,305.32,305.96,46282.65,107359.0,2.32,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,DHARMAJ,Unknown,Unknown,269.55,-0.63,210.65,376.85,27.96,28.47,51.35,265.02,253.64,91611.1,187154.0,2.04,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
28.08.2026 at 01:52 AM IST,GODREJAGRO,Unknown,Unknown,625.75,2.57,496.45,745.51,26.04,16.06,69.14,561.67,567.11,391546.9,530373.0,1.35,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
28.08.2026 at 01:52 AM IST,CONCOR,Services,Unknown,517.0,0.19,420.17,561.44,23.05,7.92,55.21,494.85,493.1,1488567.3,2059514.0,1.38,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
28.08.2026 at 01:52 AM IST,MAZDOCK,Capital Goods,Unknown,2625.0,0.57,2053.69,3039.74,27.82,13.64,67.63,2459.68,2468.97,1063312.25,1703757.0,1.6,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
28.08.2026 at 01:52 AM IST,INDOCO,Unknown,Unknown,238.94,6.04,162.19,332.2,47.32,28.07,60.08,233.51,222.4,91663.15,213284.0,2.33,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
28.08.2026 at 01:52 AM IST,KSL,Unknown,Unknown,919.3,5.16,567.48,971.39,62.0,5.36,61.69,869.11,774.35,57916.3,182924.0,3.16,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
