relative_scan_time,symbol,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector,industry,sector_rank,sector_count,sector_rank_pct
10.09.2026 at 02:35 PM IST,UMESLTD,-15.82,-12.89,20.19,,,,0,0,0,10,Positive 6M return,Consumer Defensive,Education & Training Services,13.0,138,9.42
10.09.2026 at 02:35 PM IST,VGL,-10.3,-21.95,-13.26,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
10.09.2026 at 02:35 PM IST,DAMCAPITAL,-1.56,-6.31,9.72,,,,0,0,0,10,Positive 6M return,Financial Services,Capital Markets,14.0,215,6.51
10.09.2026 at 02:35 PM IST,CPEDU,-14.67,1.31,0.75,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Unknown,Unknown,10.0,97,10.31
10.09.2026 at 02:35 PM IST,VAIBHAVGBL,-8.63,-5.19,0.13,,,,0,0,0,10,Positive 6M return,Consumer Cyclical,Luxury Goods,15.0,372,4.03
10.09.2026 at 02:35 PM IST,PGEL,-11.42,3.28,8.47,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Technology,Electronic Components,10.0,153,6.54
10.09.2026 at 02:35 PM IST,PICCADIL,-13.28,4.72,10.93,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Consumer Defensive,Beverages - Wineries & Distilleries,10.0,138,7.25
10.09.2026 at 02:35 PM IST,PATELENG,-7.26,-2.1,7.72,,,,0,0,0,10,Positive 6M return,Industrials,Engineering & Construction,15.0,414,3.62
10.09.2026 at 02:35 PM IST,PAGEIND,-6.46,-8.61,13.82,,,,0,0,0,10,Positive 6M return,Consumer Cyclical,Apparel Manufacturing,15.0,372,4.03
10.09.2026 at 02:35 PM IST,PRAJIND,-0.05,-2.68,4.28,,,,0,0,0,10,Positive 6M return,Industrials,Engineering & Construction,15.0,414,3.62
10.09.2026 at 02:35 PM IST,PUNJABCHEM,-1.24,8.75,1.45,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Basic Materials,Chemicals,12.0,326,3.68
10.09.2026 at 02:35 PM IST,PROTEAN,-10.56,-21.66,-5.04,,,,0,0,0,0,,Technology,Information Technology Services,14.0,153,9.15
10.09.2026 at 02:35 PM IST,PILITA,-4.45,-2.58,-1.61,,,,0,0,0,0,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",17.0,372,4.57
10.09.2026 at 02:35 PM IST,DENTA,-11.79,11.18,14.8,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Industrials,Engineering & Construction,12.0,414,2.9
10.09.2026 at 02:35 PM IST,DEN,0.07,0.18,0.33,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Unknown,Unknown,6.0,97,6.19
10.09.2026 at 02:35 PM IST,CIPLA,-6.04,-1.07,4.36,,,,0,0,0,10,Positive 6M return,Healthcare,Drug Manufacturers - Specialty & Generic,13.0,147,8.84
10.09.2026 at 02:35 PM IST,STARTECK,-6.87,-8.68,-5.41,,,,0,0,0,0,,Financial Services,Credit Services,16.0,215,7.44
10.09.2026 at 02:35 PM IST,DBREALTY,-11.32,-12.62,-2.97,,,,0,0,0,0,,Unknown,Unknown,14.0,97,14.43
