range_scan_time,symbol,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
26.05.2026 at 04:05 PM IST,HINDCOPPER,Wide / Volatile Range,50.0,382.06,595.52,331.25,760.05,55.87,129.45,81.48,7.11,31.28,80.0,15,18,87.5,20.0,5,100,83.09,51.65,1.0,45.52,-6.64,False,False,80.0% closes stayed inside robust range | Range width is 55.9% | Current position is 81.5% inside range | Upside to range high is 7.1% | Downside to range low is 31.3% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,NATIONALUM,Wide / Volatile Range,50.0,278.68,418.54,259.3,445.15,50.19,71.67,98.33,0.56,33.04,80.0,15,27,87.5,20.0,5,85,74.97,55.73,0.97,49.35,-0.56,False,False,80.0% closes stayed inside robust range | Range width is 50.2% | Current position is 98.3% inside range | Upside to range high is 0.6% | Downside to range low is 33.0% | Stock is near upper band
26.05.2026 at 04:05 PM IST,CHAMBLFERT,Profit Booking Zone,64.76,426.84,466.18,399.75,487.0,9.22,21.83,100.0,-2.46,10.69,80.0,46,44,87.5,100.0,5,72,72.24,61.11,2.21,11.98,2.53,False,False,80.0% closes stayed inside robust range | Range width is 9.2% | Current position is 100.0% inside range | Upside to range high is -2.5% | Downside to range low is 10.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,SAILIFE,Profit Booking Zone,61.97,851.87,1085.83,783.85,1184.8,27.46,51.15,100.0,-4.84,25.34,80.0,20,22,87.5,80.0,5,85,67.27,59.82,1.03,33.94,5.08,False,False,80.0% closes stayed inside robust range | Range width is 27.5% | Current position is 100.0% inside range | Upside to range high is -4.8% | Downside to range low is 25.3% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GOKULAGRO,Wide / Volatile Range,50.0,160.45,233.92,151.0,249.92,45.79,65.51,93.69,2.02,30.02,80.0,27,18,87.5,20.0,5,100,72.66,43.07,0.9,42.9,-1.98,False,False,80.0% closes stayed inside robust range | Range width is 45.8% | Current position is 93.7% inside range | Upside to range high is 2.0% | Downside to range low is 30.0% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,ATUL,Profit Booking Zone,68.12,5839.05,6951.55,5560.5,7180.0,19.05,29.13,100.0,-0.95,16.8,80.0,24,21,87.5,100.0,5,90,76.65,46.27,0.74,20.19,0.96,False,False,80.0% closes stayed inside robust range | Range width is 19.1% | Current position is 100.0% inside range | Upside to range high is -0.9% | Downside to range low is 16.8% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,EMCURE,Profit Booking Zone,64.1,1401.24,1678.21,1356.0,1830.0,19.77,34.96,100.0,-1.19,17.5,80.0,35,27,87.5,100.0,5,65,74.82,56.14,0.36,21.21,1.21,False,False,80.0% closes stayed inside robust range | Range width is 19.8% | Current position is 100.0% inside range | Upside to range high is -1.2% | Downside to range low is 17.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,MODISONLTD,Range Breakout Watch,55.0,125.89,166.13,114.0,251.13,31.96,120.29,100.0,-33.85,49.87,80.0,18,20,87.5,50.0,5,57,65.37,85.47,8.56,99.48,51.16,False,True,80.0% closes stayed inside robust range | Range width is 32.0% | Current position is 100.0% inside range | Upside to range high is -33.8% | Downside to range low is 49.9% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,PREMIERENE,Profit Booking Zone,58.7,725.09,1011.95,666.9,1054.4,39.56,58.1,100.0,-0.48,28.69,80.0,24,27,87.5,50.0,5,93,77.5,45.67,1.89,40.23,0.48,False,False,80.0% closes stayed inside robust range | Range width is 39.6% | Current position is 100.0% inside range | Upside to range high is -0.5% | Downside to range low is 28.7% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,PRIVISCL,Profit Booking Zone,69.34,2733.89,3302.3,2570.8,3590.9,20.79,39.68,100.0,-1.2,18.2,80.0,28,23,87.5,100.0,5,100,74.8,47.28,0.43,22.25,1.21,False,False,80.0% closes stayed inside robust range | Range width is 20.8% | Current position is 100.0% inside range | Upside to range high is -1.2% | Downside to range low is 18.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
