range_scan_time,symbol,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
26.05.2026 at 04:05 PM IST,ROLEXRINGS,Profit Booking Zone,62.22,116.95,147.41,101.7,176.0,26.04,73.06,88.69,2.39,18.76,80.0,25,29,87.5,80.0,5,90,63.98,47.27,1.08,23.09,-2.34,False,False,80.0% closes stayed inside robust range | Range width is 26.0% | Current position is 88.7% inside range | Upside to range high is 2.4% | Downside to range low is 18.8% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,NEPHROPLUS,Profit Booking Zone,59.61,475.88,586.46,446.0,663.9,23.24,48.86,100.0,-3.4,21.61,79.44,15,26,86.1,80.0,5,70,68.93,65.91,0.33,27.57,3.52,False,False,79.4% closes stayed inside robust range | Range width is 23.2% | Current position is 100.0% inside range | Upside to range high is -3.4% | Downside to range low is 21.6% | Stock is near upper band
26.05.2026 at 04:05 PM IST,MOLDTKPAC,Profit Booking Zone,63.22,522.45,615.65,464.9,718.7,17.84,54.59,100.0,-12.2,25.49,80.0,18,28,87.5,100.0,5,70,63.97,78.46,0.22,34.22,13.9,False,False,80.0% closes stayed inside robust range | Range width is 17.8% | Current position is 100.0% inside range | Upside to range high is -12.2% | Downside to range low is 25.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GMDCLTD,Profit Booking Zone,54.62,521.43,691.53,473.7,771.9,32.62,62.95,100.0,-0.23,24.77,80.0,23,17,87.5,50.0,5,87,56.31,48.15,2.95,32.93,0.23,False,False,80.0% closes stayed inside robust range | Range width is 32.6% | Current position is 100.0% inside range | Upside to range high is -0.2% | Downside to range low is 24.8% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,ADANIENT,Range Breakout Watch,56.68,1957.23,2500.77,1753.0,2979.4,27.77,69.96,100.0,-15.78,34.08,80.0,23,17,87.5,80.0,5,63,54.06,76.6,1.61,51.71,18.74,False,True,80.0% closes stayed inside robust range | Range width is 27.8% | Current position is 100.0% inside range | Upside to range high is -15.8% | Downside to range low is 34.1% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,SAIL,Wide / Volatile Range,45.39,132.12,186.27,124.0,209.7,40.99,69.11,100.0,-8.62,35.19,80.0,20,21,87.5,20.0,5,70,51.8,62.93,1.09,54.29,9.43,False,False,80.0% closes stayed inside robust range | Range width is 41.0% | Current position is 100.0% inside range | Upside to range high is -8.6% | Downside to range low is 35.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,PRUDENT,Profit Booking Zone,60.78,2236.51,2761.81,2121.0,2950.0,23.49,39.09,92.54,1.44,17.85,80.0,26,31,87.5,80.0,5,75,69.34,33.96,0.46,21.73,-1.42,False,False,80.0% closes stayed inside robust range | Range width is 23.5% | Current position is 92.5% inside range | Upside to range high is 1.4% | Downside to range low is 17.9% | Stock is near upper band
26.05.2026 at 04:05 PM IST,INDUSTOWER,Neutral Range,72.71,404.29,459.36,390.8,481.5,13.62,23.21,52.58,6.03,6.68,80.0,41,18,87.5,100.0,40,70,68.89,67.15,1.43,7.16,-5.68,False,False,80.0% closes stayed inside robust range | Range width is 13.6% | Current position is 52.6% inside range | Upside to range high is 6.0% | Downside to range low is 6.7%
26.05.2026 at 04:05 PM IST,PSPPROJECT,Profit Booking Zone,55.49,666.73,881.2,569.2,959.9,32.17,68.64,78.95,5.4,20.25,80.0,21,27,87.5,50.0,5,87,62.13,51.6,2.25,25.39,-5.12,False,False,80.0% closes stayed inside robust range | Range width is 32.2% | Current position is 78.9% inside range | Upside to range high is 5.4% | Downside to range low is 20.3% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,ADANIENSOL,Wide / Volatile Range,50.0,931.73,1361.92,803.1,1489.0,46.17,85.41,100.0,-6.93,36.33,80.0,19,20,87.5,20.0,5,78,54.03,58.22,1.58,57.05,7.44,False,True,80.0% closes stayed inside robust range | Range width is 46.2% | Current position is 100.0% inside range | Upside to range high is -6.9% | Downside to range low is 36.3% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,SPORTKING,Wide / Volatile Range,50.0,85.32,148.42,78.17,182.4,73.95,133.34,100.0,-16.98,52.27,80.0,24,20,87.5,20.0,5,57,50.87,69.4,3.28,109.52,20.45,False,True,80.0% closes stayed inside robust range | Range width is 73.9% | Current position is 100.0% inside range | Upside to range high is -17.0% | Downside to range low is 52.3% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,GRAPHITE,Profit Booking Zone,54.31,546.37,740.55,516.2,802.4,35.54,55.44,100.0,-2.04,27.72,80.0,15,22,87.5,50.0,5,85,56.26,60.57,0.61,38.36,2.08,False,False,80.0% closes stayed inside robust range | Range width is 35.5% | Current position is 100.0% inside range | Upside to range high is -2.0% | Downside to range low is 27.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GPTINFRA,Profit Booking Zone,66.75,102.67,121.28,96.22,131.76,18.13,36.94,80.0,3.17,12.67,80.0,35,23,87.5,100.0,5,90,67.51,47.03,0.57,14.51,-3.07,False,False,80.0% closes stayed inside robust range | Range width is 18.1% | Current position is 80.0% inside range | Upside to range high is 3.2% | Downside to range low is 12.7% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,OBEROIRLTY,Profit Booking Zone,69.06,1469.31,1707.8,1391.2,1757.1,16.23,26.3,94.09,0.83,13.25,80.0,31,43,87.5,100.0,5,100,72.91,53.38,0.95,15.27,-0.83,False,False,80.0% closes stayed inside robust range | Range width is 16.2% | Current position is 94.1% inside range | Upside to range high is 0.8% | Downside to range low is 13.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,AXISCADES,Wide / Volatile Range,42.9,1221.23,2042.88,1063.3,2211.0,67.28,107.94,88.95,4.65,37.44,80.0,18,19,87.5,20.0,5,48,57.14,32.72,1.63,59.85,-4.44,False,False,80.0% closes stayed inside robust range | Range width is 67.3% | Current position is 89.0% inside range | Upside to range high is 4.7% | Downside to range low is 37.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,BUILDPRO,Wide / Volatile Range,49.01,737.45,1129.45,636.0,1244.0,53.16,95.6,100.0,-0.72,35.17,80.0,11,25,87.5,20.0,5,78,67.9,56.11,1.7,54.26,0.72,False,False,80.0% closes stayed inside robust range | Range width is 53.2% | Current position is 100.0% inside range | Upside to range high is -0.7% | Downside to range low is 35.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,SUPRIYA,Profit Booking Zone,58.32,592.26,747.6,545.5,794.0,26.23,45.55,100.0,-4.27,24.16,80.0,16,40,87.5,80.0,5,70,57.99,69.89,1.01,31.86,4.46,False,False,80.0% closes stayed inside robust range | Range width is 26.2% | Current position is 100.0% inside range | Upside to range high is -4.3% | Downside to range low is 24.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,JSWSTEEL,Profit Booking Zone,64.78,1109.42,1279.79,1073.2,1314.0,15.36,22.44,100.0,-1.07,14.24,80.0,25,40,87.5,100.0,5,85,59.34,57.16,0.95,16.6,1.08,False,False,80.0% closes stayed inside robust range | Range width is 15.4% | Current position is 100.0% inside range | Upside to range high is -1.1% | Downside to range low is 14.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,PNBHOUSING,Profit Booking Zone,54.37,784.28,1056.08,729.6,1098.8,34.66,50.6,100.0,-3.34,28.22,80.0,21,23,87.5,50.0,5,85,56.64,57.33,0.7,39.31,3.46,False,False,80.0% closes stayed inside robust range | Range width is 34.7% | Current position is 100.0% inside range | Upside to range high is -3.3% | Downside to range low is 28.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,HDFCAMC,Profit Booking Zone,67.97,2386.57,2792.56,2205.6,2901.5,17.01,31.55,87.0,1.93,12.89,80.0,18,38,87.5,100.0,5,100,65.64,43.2,0.87,14.8,-1.89,False,False,80.0% closes stayed inside robust range | Range width is 17.0% | Current position is 87.0% inside range | Upside to range high is 1.9% | Downside to range low is 12.9% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,KOTYARK,Wide / Volatile Range,42.78,208.69,424.25,191.2,464.25,103.29,142.81,100.0,-2.03,51.81,80.0,18,15,87.5,20.0,5,50,54.36,64.28,0.28,107.5,2.07,False,False,80.0% closes stayed inside robust range | Range width is 103.3% | Current position is 100.0% inside range | Upside to range high is -2.0% | Downside to range low is 51.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,CGCL,Profit Booking Zone,67.56,166.91,189.02,151.1,204.9,13.25,35.61,100.0,-0.93,12.51,80.0,34,46,87.5,100.0,5,100,62.9,36.76,0.87,14.31,0.94,False,False,80.0% closes stayed inside robust range | Range width is 13.2% | Current position is 100.0% inside range | Upside to range high is -0.9% | Downside to range low is 12.5% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,LLOYDSENT,Wide / Volatile Range,46.25,46.92,69.63,40.69,74.8,48.41,83.83,100.0,-4.0,35.31,80.0,17,28,87.5,20.0,5,70,57.49,63.54,1.07,54.59,4.17,False,False,80.0% closes stayed inside robust range | Range width is 48.4% | Current position is 100.0% inside range | Upside to range high is -4.0% | Downside to range low is 35.3% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GOCLCORP,Range Breakout Watch,55.0,249.93,328.57,223.35,389.0,31.46,74.17,100.0,-13.1,33.9,80.0,25,17,87.5,50.0,5,57,52.99,67.26,7.83,51.28,15.08,False,True,80.0% closes stayed inside robust range | Range width is 31.5% | Current position is 100.0% inside range | Upside to range high is -13.1% | Downside to range low is 33.9% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,ANURAS,Profit Booking Zone,63.47,1234.88,1361.54,1162.3,1415.0,10.26,21.74,100.0,-0.64,9.88,80.0,45,41,87.5,100.0,5,75,60.62,55.99,0.76,10.97,0.64,False,False,80.0% closes stayed inside robust range | Range width is 10.3% | Current position is 100.0% inside range | Upside to range high is -0.6% | Downside to range low is 9.9% | Stock is near upper band
26.05.2026 at 04:05 PM IST,KRISHANA,Wide / Volatile Range,47.47,475.99,669.11,456.05,718.5,40.57,57.55,100.0,-0.49,29.21,80.0,33,17,87.5,20.0,5,80,55.64,52.33,0.84,41.26,0.49,False,False,80.0% closes stayed inside robust range | Range width is 40.6% | Current position is 100.0% inside range | Upside to range high is -0.5% | Downside to range low is 29.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,GOLDIAM,Profit Booking Zone,57.01,296.5,404.0,265.0,448.65,36.25,69.3,100.0,-1.03,27.36,80.0,18,19,87.5,50.0,5,100,59.21,50.1,0.51,37.67,1.04,False,False,80.0% closes stayed inside robust range | Range width is 36.3% | Current position is 100.0% inside range | Upside to range high is -1.0% | Downside to range low is 27.4% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,UNIDT,Profit Booking Zone,52.03,165.23,215.02,146.0,252.0,30.14,72.6,100.0,-9.45,30.42,80.0,16,21,87.5,50.0,5,70,56.05,78.44,0.84,43.72,10.44,False,False,80.0% closes stayed inside robust range | Range width is 30.1% | Current position is 100.0% inside range | Upside to range high is -9.5% | Downside to range low is 30.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,STYRENIX,Profit Booking Zone,66.49,1887.15,2285.3,1780.0,2440.2,21.1,37.09,100.0,-0.93,18.19,80.0,43,24,87.5,100.0,5,93,62.78,48.01,2.12,22.23,0.94,False,False,80.0% closes stayed inside robust range | Range width is 21.1% | Current position is 100.0% inside range | Upside to range high is -0.9% | Downside to range low is 18.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,NLCINDIA,Profit Booking Zone,51.14,241.02,325.95,230.0,387.8,35.24,68.61,100.0,-5.08,29.81,80.0,21,20,87.5,50.0,5,65,55.13,57.34,0.84,42.48,5.35,False,False,80.0% closes stayed inside robust range | Range width is 35.2% | Current position is 100.0% inside range | Upside to range high is -5.1% | Downside to range low is 29.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,APARINDS,Wide / Volatile Range,47.39,7860.6,12443.7,6801.0,13149.0,58.3,93.34,100.0,-0.74,37.3,80.0,14,21,87.5,20.0,5,80,55.12,52.62,0.79,59.48,0.74,False,False,80.0% closes stayed inside robust range | Range width is 58.3% | Current position is 100.0% inside range | Upside to range high is -0.7% | Downside to range low is 37.3% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,SETL,Profit Booking Zone,68.54,115.88,138.41,104.56,145.0,19.44,38.68,86.59,2.23,14.41,79.78,19,33,86.94,100.0,5,100,70.38,41.04,1.33,16.83,-2.18,False,False,79.8% closes stayed inside robust range | Range width is 19.4% | Current position is 86.6% inside range | Upside to range high is 2.2% | Downside to range low is 14.4% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,AIAENG,Profit Booking Zone,59.66,3657.37,4027.4,3252.7,4206.1,10.12,29.31,100.0,-2.8,11.73,80.0,35,53,87.5,100.0,5,57,53.26,63.32,7.13,13.29,2.88,False,False,80.0% closes stayed inside robust range | Range width is 10.1% | Current position is 100.0% inside range | Upside to range high is -2.8% | Downside to range low is 11.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,ATHERENERG,Wide / Volatile Range,43.68,638.7,924.94,589.0,989.4,44.82,67.98,100.0,-2.7,32.81,80.0,20,23,87.5,20.0,5,78,32.39,59.48,2.16,48.83,2.77,False,False,80.0% closes stayed inside robust range | Range width is 44.8% | Current position is 100.0% inside range | Upside to range high is -2.7% | Downside to range low is 32.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,HONASA,Profit Booking Zone,51.74,267.66,349.13,248.4,402.8,30.43,62.16,100.0,-11.84,32.41,80.0,24,32,87.5,50.0,5,70,54.12,79.34,0.7,47.95,13.43,False,False,80.0% closes stayed inside robust range | Range width is 30.4% | Current position is 100.0% inside range | Upside to range high is -11.8% | Downside to range low is 32.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,ESABINDIA,Profit Booking Zone,61.97,5324.1,6664.7,4901.5,7319.5,25.18,49.33,100.0,-4.79,23.94,80.0,31,17,87.5,80.0,5,100,52.29,43.79,0.26,31.48,5.03,False,False,80.0% closes stayed inside robust range | Range width is 25.2% | Current position is 100.0% inside range | Upside to range high is -4.8% | Downside to range low is 23.9% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,CENTUM,Profit Booking Zone,50.23,2236.46,2980.6,2044.2,3324.0,33.27,62.61,100.0,-5.99,29.46,80.0,28,18,87.5,50.0,5,60,54.06,66.23,0.54,41.77,6.37,False,False,80.0% closes stayed inside robust range | Range width is 33.3% | Current position is 100.0% inside range | Upside to range high is -6.0% | Downside to range low is 29.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,CRAFTSMAN,Profit Booking Zone,58.74,6916.5,8469.85,6451.5,9738.0,22.46,50.94,100.0,-2.28,20.2,80.0,36,14,87.5,80.0,5,70,60.8,70.94,0.09,25.32,2.33,False,False,80.0% closes stayed inside robust range | Range width is 22.5% | Current position is 100.0% inside range | Upside to range high is -2.3% | Downside to range low is 20.2% | Stock is near upper band
26.05.2026 at 04:05 PM IST,AKUMS,Profit Booking Zone,62.77,422.95,538.83,409.3,567.0,27.4,38.53,94.28,1.24,20.53,80.0,24,22,87.5,80.0,5,100,57.64,40.49,1.07,25.83,-1.23,False,False,80.0% closes stayed inside robust range | Range width is 27.4% | Current position is 94.3% inside range | Upside to range high is 1.2% | Downside to range low is 20.5% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,SONAMLTD,Profit Booking Zone,49.62,40.58,54.55,37.4,62.35,34.43,66.71,100.0,-3.08,27.9,80.0,26,31,87.5,50.0,5,60,49.95,65.75,1.3,38.7,3.18,False,False,80.0% closes stayed inside robust range | Range width is 34.4% | Current position is 100.0% inside range | Upside to range high is -3.1% | Downside to range low is 27.9% | Stock is near upper band
26.05.2026 at 04:05 PM IST,RSWM,Range Breakout Watch,60.14,132.35,163.68,120.0,185.0,23.67,54.17,100.0,-8.55,26.05,80.0,26,28,87.5,80.0,5,87,53.08,53.94,3.37,35.23,9.35,False,True,80.0% closes stayed inside robust range | Range width is 23.7% | Current position is 100.0% inside range | Upside to range high is -8.5% | Downside to range low is 26.1% | Price is above upper range with elevated volume | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,EBGNG,Wide / Volatile Range,48.52,279.55,426.37,239.0,484.8,52.52,102.85,100.0,-3.81,36.93,80.0,18,25,87.5,20.0,5,90,52.61,54.06,0.52,58.56,3.96,False,False,80.0% closes stayed inside robust range | Range width is 52.5% | Current position is 100.0% inside range | Upside to range high is -3.8% | Downside to range low is 36.9% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,INDOBORAX,Profit Booking Zone,61.79,243.55,275.16,230.45,345.5,12.98,49.92,100.0,-17.31,26.81,80.0,60,30,87.5,100.0,5,70,54.4,75.79,0.41,36.63,20.93,False,False,80.0% closes stayed inside robust range | Range width is 13.0% | Current position is 100.0% inside range | Upside to range high is -17.3% | Downside to range low is 26.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,UNIVASTU,Profit Booking Zone,67.16,62.17,70.75,56.02,78.84,13.8,40.74,100.0,-2.31,14.16,80.0,35,37,87.5,100.0,5,100,60.24,37.81,0.25,16.49,2.36,False,False,80.0% closes stayed inside robust range | Range width is 13.8% | Current position is 100.0% inside range | Upside to range high is -2.3% | Downside to range low is 14.2% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,RAMRAT,Wide / Volatile Range,50.0,295.99,432.93,268.0,477.5,46.27,78.17,100.0,-8.0,37.1,80.0,32,22,87.5,20.0,5,72,49.87,60.25,2.83,58.99,8.7,False,True,80.0% closes stayed inside robust range | Range width is 46.3% | Current position is 100.0% inside range | Upside to range high is -8.0% | Downside to range low is 37.1% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,DIACABS,Range Breakout Watch,55.0,125.25,173.02,115.57,210.0,38.13,81.71,100.0,-16.27,39.39,80.0,26,15,87.5,50.0,5,57,47.62,71.21,3.13,64.98,19.44,False,True,80.0% closes stayed inside robust range | Range width is 38.1% | Current position is 100.0% inside range | Upside to range high is -16.3% | Downside to range low is 39.4% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,WOCKPHARMA,Profit Booking Zone,61.6,1269.04,1565.63,1086.7,1778.0,23.37,63.61,100.0,-7.91,25.36,80.0,21,16,87.5,80.0,5,100,49.83,48.16,0.87,33.98,8.6,False,False,80.0% closes stayed inside robust range | Range width is 23.4% | Current position is 100.0% inside range | Upside to range high is -7.9% | Downside to range low is 25.4% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,AVL,Profit Booking Zone,64.39,462.15,541.43,436.55,570.85,17.16,30.76,94.48,0.82,13.95,80.0,19,21,87.5,100.0,5,78,63.76,31.74,1.72,16.21,-0.81,False,False,80.0% closes stayed inside robust range | Range width is 17.2% | Current position is 94.5% inside range | Upside to range high is 0.8% | Downside to range low is 13.9% | Stock is near upper band
26.05.2026 at 04:05 PM IST,XPROINDIA,Profit Booking Zone,62.07,881.92,1096.64,788.05,1215.0,24.35,54.18,100.0,-3.15,22.11,80.0,22,20,87.5,80.0,5,100,52.95,52.4,1.04,28.39,3.25,False,False,80.0% closes stayed inside robust range | Range width is 24.3% | Current position is 100.0% inside range | Upside to range high is -3.1% | Downside to range low is 22.1% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,ASTRAMICRO,Range Breakout Watch,55.33,894.23,1125.2,851.0,1389.7,25.83,63.3,100.0,-17.08,34.1,80.83,38,25,89.58,80.0,5,57,47.54,80.19,11.21,51.75,20.6,False,True,80.8% closes stayed inside robust range | Range width is 25.8% | Current position is 100.0% inside range | Upside to range high is -17.1% | Downside to range low is 34.1% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,INGERRAND,Profit Booking Zone,53.6,3246.21,4350.35,3063.3,4605.0,34.01,50.33,99.87,0.03,25.36,80.0,16,22,87.5,50.0,5,80,56.53,47.57,0.25,33.97,-0.03,False,False,80.0% closes stayed inside robust range | Range width is 34.0% | Current position is 99.9% inside range | Upside to range high is 0.0% | Downside to range low is 25.4% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,BALPHARMA,Range Breakout Watch,59.34,67.75,78.56,60.0,94.7,15.96,57.83,100.0,-14.9,26.61,80.0,26,32,87.5,100.0,5,57,51.11,68.12,5.91,36.26,17.51,False,True,80.0% closes stayed inside robust range | Range width is 16.0% | Current position is 100.0% inside range | Upside to range high is -14.9% | Downside to range low is 26.6% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,WABAG,Profit Booking Zone,61.26,1173.18,1480.74,1033.0,1559.0,26.22,50.92,100.0,-1.7,22.12,80.0,26,18,87.5,80.0,5,87,60.55,51.21,2.86,28.39,1.73,False,False,80.0% closes stayed inside robust range | Range width is 26.2% | Current position is 100.0% inside range | Upside to range high is -1.7% | Downside to range low is 22.1% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,ARTEMISMED,Profit Booking Zone,59.45,224.61,279.11,203.35,295.0,24.27,45.07,100.0,-1.59,20.81,80.0,34,34,87.5,80.0,5,70,65.49,64.71,0.8,26.28,1.62,False,False,80.0% closes stayed inside robust range | Range width is 24.3% | Current position is 100.0% inside range | Upside to range high is -1.6% | Downside to range low is 20.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,RADICO,Profit Booking Zone,57.69,2681.65,3451.3,2500.0,3679.0,28.7,47.16,100.0,-3.55,25.06,80.0,31,21,87.5,80.0,5,70,53.77,70.79,0.49,33.44,3.68,False,False,80.0% closes stayed inside robust range | Range width is 28.7% | Current position is 100.0% inside range | Upside to range high is -3.6% | Downside to range low is 25.1% | Stock is near upper band
26.05.2026 at 04:05 PM IST,SCHNEIDER,Wide / Volatile Range,50.0,656.17,1281.42,571.85,1412.0,95.29,146.92,100.0,-6.93,52.34,80.0,13,18,87.5,20.0,5,78,29.31,59.13,1.68,109.82,7.44,False,True,80.0% closes stayed inside robust range | Range width is 95.3% | Current position is 100.0% inside range | Upside to range high is -6.9% | Downside to range low is 52.3% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,VBL,Profit Booking Zone,58.16,406.18,511.52,381.0,543.95,25.93,42.77,100.0,-3.72,23.55,80.0,16,27,87.5,80.0,5,70,56.91,62.61,0.88,30.8,3.87,False,False,80.0% closes stayed inside robust range | Range width is 25.9% | Current position is 100.0% inside range | Upside to range high is -3.7% | Downside to range low is 23.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,ATLANTAELE,Wide / Volatile Range,46.43,808.81,1672.3,707.6,1901.8,106.76,168.77,100.0,-6.52,54.79,80.0,20,18,87.5,20.0,5,70,58.69,66.6,1.06,121.18,6.97,False,False,80.0% closes stayed inside robust range | Range width is 106.8% | Current position is 100.0% inside range | Upside to range high is -6.5% | Downside to range low is 54.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,HIRECT,Wide / Volatile Range,45.08,653.76,934.3,565.2,1033.45,42.91,82.85,100.0,-6.53,34.6,80.0,18,22,87.5,20.0,5,70,49.69,62.49,0.85,52.9,6.99,False,False,80.0% closes stayed inside robust range | Range width is 42.9% | Current position is 100.0% inside range | Upside to range high is -6.5% | Downside to range low is 34.6% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GRAVITA,Neutral Range,68.72,1417.17,1836.35,1266.9,1913.6,29.58,51.05,58.41,10.49,14.73,80.0,15,27,87.5,80.0,40,78,60.94,30.5,2.05,17.28,-9.49,False,False,80.0% closes stayed inside robust range | Range width is 29.6% | Current position is 58.4% inside range | Upside to range high is 10.5% | Downside to range low is 14.7%
26.05.2026 at 04:05 PM IST,CAPITALSFB,Profit Booking Zone,67.13,239.96,276.94,206.55,323.7,15.41,56.72,100.0,-1.78,14.89,80.0,16,34,87.5,100.0,5,100,60.04,54.63,0.46,17.5,1.81,False,False,80.0% closes stayed inside robust range | Range width is 15.4% | Current position is 100.0% inside range | Upside to range high is -1.8% | Downside to range low is 14.9% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,RHETAN,Profit Booking Zone,62.29,24.35,27.46,22.58,31.46,12.77,39.33,100.0,-8.36,18.73,80.0,49,20,87.5,100.0,5,70,57.76,83.33,0.72,23.05,9.12,False,False,80.0% closes stayed inside robust range | Range width is 12.8% | Current position is 100.0% inside range | Upside to range high is -8.4% | Downside to range low is 18.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,JBCHEPHARM,Profit Booking Zone,64.26,1804.53,2137.88,1749.5,2285.3,18.47,30.63,100.0,-2.38,17.6,80.0,30,32,87.5,100.0,5,85,55.92,56.04,0.7,21.36,2.44,False,False,80.0% closes stayed inside robust range | Range width is 18.5% | Current position is 100.0% inside range | Upside to range high is -2.4% | Downside to range low is 17.6% | Stock is near upper band
26.05.2026 at 04:05 PM IST,JAYBARMARU,Profit Booking Zone,57.12,83.63,105.76,74.15,124.1,26.47,67.36,100.0,-8.64,27.76,80.0,32,21,87.5,80.0,5,60,59.96,69.81,0.53,38.43,9.46,False,False,80.0% closes stayed inside robust range | Range width is 26.5% | Current position is 100.0% inside range | Upside to range high is -8.6% | Downside to range low is 27.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,MWL,Profit Booking Zone,51.34,260.82,350.84,233.82,381.8,34.51,63.29,100.0,-7.07,30.92,80.0,40,18,87.5,50.0,5,70,51.41,75.32,0.99,44.75,7.61,False,False,80.0% closes stayed inside robust range | Range width is 34.5% | Current position is 100.0% inside range | Upside to range high is -7.1% | Downside to range low is 30.9% | Stock is near upper band
26.05.2026 at 04:05 PM IST,INSPIRISYS,Range Breakout Watch,55.0,78.5,98.64,69.92,132.05,25.66,88.86,100.0,-21.24,37.32,80.0,21,16,87.5,80.0,5,43,51.38,80.13,1.85,59.55,26.97,False,True,80.0% closes stayed inside robust range | Range width is 25.7% | Current position is 100.0% inside range | Upside to range high is -21.2% | Downside to range low is 37.3% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,MARKOLINES,Range Breakout Watch,61.43,142.84,164.54,131.65,176.5,15.2,34.07,100.0,-4.09,16.74,80.0,23,41,87.5,100.0,5,63,59.0,74.13,1.87,20.11,4.27,False,True,80.0% closes stayed inside robust range | Range width is 15.2% | Current position is 100.0% inside range | Upside to range high is -4.1% | Downside to range low is 16.7% | Price is above upper range with elevated volume | Stock is near upper band
