change_scan_time,symbol,sector,industry,current_price,current_rsi,current_risk,current_final_score,current_score_band,technical_score,fundamental_score,relative_strength_score,volume_ratio,distance_pct,distance_from_high_pct,trend,previous_rsi,previous_risk,previous_final_score,previous_score_band,score_change,rsi_change,risk_change,change_signal
01.09.2026 at 10:07 AM IST,ODIGMA,Communication Services,Advertising Agencies,23.25,56.45,15,8.24,E Avoid,40,17.0,18,1.89,16.25,58.55,Bearish,46.25,20.0,0.0,E Avoid,8.24,10.2,-5.0,"Score Improved, Risk Reduced"
01.09.2026 at 10:07 AM IST,DIGIDRIVE,Consumer Cyclical,Internet Retail,18.55,59.24,15,13.86,E Avoid,45,29.0,8,0.15,15.22,46.03,Bullish,48.15,15.0,5.75,E Avoid,8.11,11.09,0.0,Score Improved
01.09.2026 at 10:07 AM IST,PFC,Financial Services,Credit Services,344.1,26.36,15,8.05,E Avoid,14,39.0,0,0.32,8.32,27.84,Bearish,16.98,25.0,0.0,E Avoid,8.05,9.38,-10.0,"Score Improved, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,ARTNIRMAN,Real Estate,Real Estate - Development,41.2,52.42,15,8.27,E Avoid,40,14.0,18,0.03,40.18,38.48,Bullish,45.76,15.0,0.29,E Avoid,7.98,6.66,0.0,Score Improved
01.09.2026 at 10:07 AM IST,AARTIDRUGS,Healthcare,Drug Manufacturers - Specialty & Generic,414.5,50.01,0,41.82,D Weak,55,31.0,38,0.04,29.96,22.04,Bullish,48.07,0.0,34.3,E Avoid,7.52,1.94,0.0,"Score Improved, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,YATRA,Consumer Cyclical,Travel Services,112.5,51.64,15,7.41,E Avoid,40,7.0,18,0.58,25.14,44.31,Bullish,41.2,15.0,0.0,E Avoid,7.41,10.44,0.0,"Score Improved, RSI Recovery"
01.09.2026 at 10:07 AM IST,HINDZINC,Basic Materials,Other Industrial Metals & Mining,602.8,56.67,0,48.33,C Neutral,55,53.0,38,0.17,44.77,16.26,Bullish,54.73,0.0,40.98,D Weak,7.35,1.94,0.0,"Score Improved, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,NUVAMA,Financial Services,Asset Management,1759.0,50.29,0,40.15,D Weak,40,31.0,48,0.44,61.89,14.86,Bearish,49.49,0.0,32.8,E Avoid,7.35,0.8,0.0,"Score Improved, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,RBZJEWEL,Consumer Cyclical,Luxury Goods,170.55,70.9,0,54.91,C Neutral,67,40.0,65,10.11,70.55,4.72,Bullish,57.76,0.0,47.8,C Neutral,7.11,13.14,0.0,"Score Improved, Fresh Momentum, RSI Overbought"
01.09.2026 at 10:07 AM IST,SURYALAXMI,Consumer Cyclical,Textile Manufacturing,65.38,68.12,0,41.61,D Weak,80,22.0,38,3.78,52.05,6.33,Bullish,56.68,0.0,34.75,E Avoid,6.86,11.44,0.0,"Score Improved, Fresh Momentum, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,PARKHOSPS,Healthcare,Medical Care Facilities,289.5,57.24,0,48.12,C Neutral,45,45.0,48,0.1,109.63,5.08,Bullish,54.22,0.0,41.35,D Weak,6.77,3.02,0.0,"Score Improved, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,PALASHSECU,Consumer Defensive,Packaged Foods,91.89,53.83,15,14.71,E Avoid,45,28.0,8,0.11,16.3,31.83,Bullish,46.83,15.0,8.06,E Avoid,6.65,7.0,0.0,Score Improved
01.09.2026 at 10:07 AM IST,LOYALTEX,Consumer Cyclical,Textile Manufacturing,226.02,62.71,0,33.16,E Avoid,70,0.0,45,2.54,32.92,32.33,Bullish,55.56,0.0,26.55,E Avoid,6.61,7.15,0.0,"Score Improved, Fresh Momentum"
01.09.2026 at 10:07 AM IST,DCMFINSERV,Financial Services,Credit Services,5.34,50.1,0,25.55,E Avoid,55,8.0,18,0.0,44.32,37.54,Bullish,49.56,0.0,18.95,E Avoid,6.6,0.54,0.0,Score Improved
01.09.2026 at 10:07 AM IST,KHANDSE,Financial Services,Capital Markets,17.5,52.27,15,6.55,E Avoid,40,13.0,10,0.02,43.44,34.9,Bullish,46.82,15.0,0.0,E Avoid,6.55,5.45,0.0,Score Improved
01.09.2026 at 10:07 AM IST,HEG,Industrials,Electrical Equipment & Parts,748.7,69.09,0,53.78,C Neutral,70,38.0,65,1.07,61.87,0.69,Bullish,64.9,0.0,47.25,C Neutral,6.53,4.19,0.0,Score Improved
01.09.2026 at 10:07 AM IST,KSOLVES,Technology,Software - Application,277.0,50.77,15,18.51,E Avoid,35,47.0,10,1.24,14.24,20.69,Bearish,38.6,15.0,12.06,E Avoid,6.45,12.17,0.0,"Score Improved, RSI Recovery"
01.09.2026 at 10:07 AM IST,GODREJAGRO,Consumer Defensive,Packaged Foods,675.3,74.34,0,36.06,D Weak,67,11.0,45,5.82,36.02,9.42,Bullish,64.14,0.0,29.66,E Avoid,6.4,10.2,0.0,"Score Improved, RSI Overbought, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,SOTL,Basic Materials,Specialty Chemicals,771.4,67.28,0,62.03,B Watchlist,80,50.0,65,2.75,171.88,4.63,Bullish,55.36,0.0,55.93,B Watchlist,6.1,11.92,0.0,"Score Improved, Fresh Momentum"
01.09.2026 at 10:07 AM IST,SAIL,Basic Materials,Steel,197.52,68.91,0,43.13,D Weak,65,28.0,45,0.27,68.77,5.81,Bullish,67.25,0.0,37.03,D Weak,6.1,1.66,0.0,Score Improved
01.09.2026 at 10:07 AM IST,BOROSCI,Consumer Cyclical,Packaging & Containers,127.39,33.62,15,6.01,E Avoid,13,28.0,10,0.28,31.82,29.54,Bearish,24.71,25.0,0.0,E Avoid,6.01,8.91,-10.0,"Score Improved, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,DVL,Financial Services,Capital Markets,282.35,59.67,0,49.1,C Neutral,55,52.0,45,0.12,51.8,24.37,Bullish,53.96,5.0,43.25,D Weak,5.85,5.71,-5.0,"Score Improved, Risk Reduced, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,GLFL,Financial Services,Shell Companies,5.9,55.02,0,27.75,E Avoid,55,0.0,38,0.28,61.2,36.83,Bullish,54.73,0.0,21.9,E Avoid,5.85,0.29,0.0,Score Improved
01.09.2026 at 10:07 AM IST,ADANIGREEN,Utilities,Utilities - Renewable,1256.7,37.38,0,20.74,E Avoid,33,17.0,20,1.1,64.27,22.97,Bearish,29.17,5.0,15.0,E Avoid,5.74,8.21,-5.0,"Score Improved, Risk Reduced"
01.09.2026 at 10:07 AM IST,CREATIVEYE,Communication Services,Entertainment,6.2,50.29,15,5.69,E Avoid,45,17.0,0,0.08,14.6,29.78,Bullish,46.23,15.0,0.0,E Avoid,5.69,4.06,0.0,Score Improved
01.09.2026 at 10:07 AM IST,CASTROLIND,Energy,Oil & Gas Refining & Marketing,185.64,53.79,0,65.96,A Strong,70,90.0,38,0.04,12.78,6.35,Bullish,48.7,0.0,60.28,B Watchlist,5.68,5.09,0.0,"Entered Strong Zone, Score Improved, Band Changed: B Watchlist → A Strong"
01.09.2026 at 10:07 AM IST,USHAMART,Basic Materials,Steel,510.3,57.67,0,47.68,C Neutral,65,44.0,38,0.67,37.47,2.53,Bullish,51.81,0.0,42.08,D Weak,5.6,5.86,0.0,"Score Improved, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,ARFIN,Basic Materials,Aluminum,87.39,54.66,0,30.73,E Avoid,55,21.0,18,0.02,173.61,17.71,Bullish,53.97,0.0,25.13,E Avoid,5.6,0.69,0.0,Score Improved
01.09.2026 at 10:07 AM IST,BONLON,Basic Materials,Other Industrial Metals & Mining,42.03,55.54,0,19.78,E Avoid,45,2.0,8,0.01,21.79,26.26,Bullish,47.59,0.0,14.18,E Avoid,5.6,7.95,0.0,Score Improved
01.09.2026 at 10:07 AM IST,IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic,1980.0,69.86,0,56.32,B Watchlist,65,42.0,65,0.06,58.75,0.71,Bullish,70.29,0.0,50.8,C Neutral,5.52,-0.43,0.0,"Score Improved, Band Changed: C Neutral → B Watchlist"
01.09.2026 at 10:07 AM IST,NEPHROPLUS,Healthcare,Medical Care Facilities,702.6,55.52,0,44.82,D Weak,60,36.0,38,1.51,57.53,8.72,Bullish,48.93,0.0,39.3,D Weak,5.52,6.59,0.0,Score Improved
01.09.2026 at 10:07 AM IST,HALEOSLABS,Healthcare,Biotechnology,1529.4,55.84,0,25.07,E Avoid,55,3.0,20,0.02,40.17,13.79,Bullish,45.66,0.0,19.55,E Avoid,5.52,10.18,0.0,Score Improved
01.09.2026 at 10:07 AM IST,NEWGEN,Technology,Software - Infrastructure,533.25,50.27,15,20.16,E Avoid,40,46.0,20,0.45,34.45,48.25,Bullish,48.91,20.0,14.71,E Avoid,5.45,1.36,-5.0,"Score Improved, Risk Reduced"
01.09.2026 at 10:07 AM IST,SALONA,Consumer Cyclical,Textile Manufacturing,272.99,59.9,0,30.36,E Avoid,55,13.0,25,0.29,36.49,14.69,Bullish,55.09,0.0,25.0,E Avoid,5.36,4.81,0.0,Score Improved
01.09.2026 at 10:07 AM IST,VINDHYATEL,Industrials,Engineering & Construction,2660.0,69.25,0,47.63,C Neutral,65,24.0,65,0.5,176.84,0.0,Bullish,62.4,0.0,42.35,D Weak,5.28,6.85,0.0,"Score Improved, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,TFL,Financial Services,Mortgage Finance,12.64,65.4,15,7.0,E Avoid,45,0.0,25,0.06,23.8,31.68,Bullish,56.7,15.0,1.9,E Avoid,5.1,8.7,0.0,"Score Improved, Fresh Momentum"
01.09.2026 at 10:07 AM IST,CORALFINAC,Real Estate,Real Estate Services,33.46,51.17,15,12.12,E Avoid,40,22.0,18,0.03,34.58,33.87,Bullish,47.93,15.0,7.14,E Avoid,4.98,3.24,0.0,No Major Change
01.09.2026 at 10:07 AM IST,DOLPHIN,Energy,Oil & Gas Equipment & Services,589.45,65.66,0,47.76,C Neutral,50,40.0,65,0.03,83.06,12.02,Bullish,64.45,5.0,42.83,D Weak,4.93,1.21,-5.0,"Risk Reduced, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,SREEL,Consumer Cyclical,Footwear & Accessories,248.2,57.15,0,52.41,C Neutral,60,45.0,55,0.02,50.2,8.07,Bullish,56.93,5.0,47.55,C Neutral,4.86,0.22,-5.0,Risk Reduced
01.09.2026 at 10:07 AM IST,DEVYANI,Consumer Cyclical,Restaurants,136.83,51.76,0,32.06,E Avoid,50,0.0,55,0.05,49.46,28.36,Bullish,54.4,5.0,27.2,E Avoid,4.86,-2.64,-5.0,Risk Reduced
01.09.2026 at 10:07 AM IST,ZFSTEERING,Consumer Cyclical,Auto Parts,677.4,53.58,0,28.01,E Avoid,48,23.0,10,0.03,9.14,24.31,Bullish,46.36,0.0,23.15,E Avoid,4.86,7.22,0.0,No Major Change
01.09.2026 at 10:07 AM IST,AEROENTER,Basic Materials,Steel,139.02,58.05,0,53.53,C Neutral,60,45.0,65,0.19,123.5,7.04,Bullish,57.31,5.0,48.68,C Neutral,4.85,0.74,-5.0,Risk Reduced
01.09.2026 at 10:07 AM IST,SICAGEN,Basic Materials,Steel,54.5,47.79,0,29.83,E Avoid,32,40.0,8,0.02,123.82,26.41,Bullish,46.69,0.0,24.98,E Avoid,4.85,1.1,0.0,No Major Change
01.09.2026 at 10:07 AM IST,KIOCL,Basic Materials,Steel,388.1,53.0,0,28.03,E Avoid,55,17.0,10,0.83,33.53,38.84,Bullish,48.54,0.0,23.18,E Avoid,4.85,4.46,0.0,No Major Change
01.09.2026 at 10:07 AM IST,BTML,Communication Services,Entertainment,8.4,56.32,0,37.44,D Weak,50,19.0,55,0.01,66.01,20.0,Bullish,57.1,5.0,32.62,E Avoid,4.82,-0.78,-5.0,"Risk Reduced, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,GPPL,Industrials,Marine Shipping,169.29,72.66,0,51.43,C Neutral,47,57.0,45,0.29,19.6,15.39,Bullish,70.29,0.0,46.65,C Neutral,4.78,2.37,0.0,No Major Change
01.09.2026 at 10:07 AM IST,SHANTIGEAR,Industrials,Specialty Industrial Machinery,527.8,69.05,0,34.28,E Avoid,65,0.0,55,0.01,37.45,9.84,Bullish,68.68,0.0,29.5,E Avoid,4.78,0.37,0.0,No Major Change
01.09.2026 at 10:07 AM IST,NIRAJ,Industrials,Engineering & Construction,29.82,58.1,15,22.43,E Avoid,40,32.0,38,0.13,47.99,42.63,Bullish,54.3,15.0,17.65,E Avoid,4.78,3.8,0.0,No Major Change
01.09.2026 at 10:07 AM IST,ICDSLTD,Real Estate,Real Estate Services,42.5,57.23,15,5.87,E Avoid,50,0.0,18,1.04,16.76,31.8,Bullish,50.59,15.0,1.14,E Avoid,4.73,6.64,0.0,No Major Change
01.09.2026 at 10:07 AM IST,MOSCHIP,Technology,Semiconductor Equipment & Materials,217.65,55.2,0,22.31,E Avoid,55,0.0,18,0.5,48.26,24.54,Bullish,51.93,0.0,17.61,E Avoid,4.7,3.27,0.0,No Major Change
01.09.2026 at 10:07 AM IST,IVALUE,Technology,Information Technology Services,242.34,25.79,15,7.51,E Avoid,9,32.0,20,0.12,16.87,28.72,Bearish,28.41,20.0,2.81,E Avoid,4.7,-2.62,-5.0,Risk Reduced
01.09.2026 at 10:07 AM IST,DTIL,Consumer Defensive,Packaged Foods,159.0,60.45,0,32.91,E Avoid,50,0.0,55,0.08,58.17,18.89,Bullish,63.04,5.0,28.26,E Avoid,4.65,-2.59,-5.0,Risk Reduced
01.09.2026 at 10:07 AM IST,ITC,Consumer Defensive,Tobacco,262.25,35.89,15,4.61,E Avoid,21,22.0,0,0.61,2.64,35.59,Bearish,24.11,25.0,0.0,E Avoid,4.61,11.78,-10.0,Risk Reduced Sharply
01.09.2026 at 10:07 AM IST,DHUNINV,Financial Services,Capital Markets,982.4,51.66,0,49.3,C Neutral,50,49.0,55,0.05,47.72,37.36,Bullish,52.72,5.0,44.7,D Weak,4.6,-1.06,-5.0,"Risk Reduced, Band Changed: D Weak → C Neutral"
01.09.2026 at 10:07 AM IST,FINKURVE,Financial Services,Credit Services,70.55,50.34,15,21.75,E Avoid,35,27.0,45,0.14,46.92,47.7,Bullish,53.43,15.0,17.15,E Avoid,4.6,-3.09,0.0,No Major Change
01.09.2026 at 10:07 AM IST,SUMIT,Real Estate,Real Estate - Development,50.54,46.21,15,8.92,E Avoid,32,13.0,30,0.09,59.85,51.21,Bullish,44.61,15.0,4.44,E Avoid,4.48,1.6,0.0,No Major Change
01.09.2026 at 10:07 AM IST,MEGASTAR,Consumer Defensive,Packaged Foods,314.9,46.42,0,27.41,E Avoid,32,22.0,30,0.04,55.12,19.67,Bearish,40.43,0.0,23.01,E Avoid,4.4,5.99,0.0,No Major Change
01.09.2026 at 10:07 AM IST,SPORTKING,Consumer Cyclical,Textile Manufacturing,232.23,64.36,0,53.01,C Neutral,65,41.0,58,0.83,197.08,3.84,Bullish,61.52,0.0,48.65,C Neutral,4.36,2.84,0.0,No Major Change
01.09.2026 at 10:07 AM IST,SARLAPOLY,Consumer Cyclical,Textile Manufacturing,101.57,54.29,0,42.06,D Weak,65,28.0,38,0.26,51.42,8.5,Bullish,49.39,0.0,37.7,D Weak,4.36,4.9,0.0,No Major Change
01.09.2026 at 10:07 AM IST,JINDALSAW,Basic Materials,Steel,307.1,69.04,0,40.23,D Weak,60,12.0,65,0.09,102.57,3.11,Bullish,71.53,0.0,35.88,D Weak,4.35,-2.49,0.0,No Major Change
01.09.2026 at 10:07 AM IST,VENUSPIPES,Basic Materials,Steel,1627.0,52.3,0,39.18,D Weak,35,34.0,48,0.09,82.81,13.23,Bearish,54.88,0.0,34.83,E Avoid,4.35,-2.58,0.0,Band Changed: E Avoid → D Weak
01.09.2026 at 10:07 AM IST,HEIDELBERG,Basic Materials,Building Materials,159.24,52.03,15,18.23,E Avoid,45,19.0,38,0.38,17.0,26.61,Bullish,46.99,15.0,13.88,E Avoid,4.35,5.04,0.0,No Major Change
01.09.2026 at 10:07 AM IST,MPHASIS,Technology,Information Technology Services,2459.3,55.37,0,53.91,C Neutral,55,72.0,38,0.14,25.45,16.86,Bullish,51.04,0.0,49.71,C Neutral,4.2,4.33,0.0,No Major Change
01.09.2026 at 10:07 AM IST,RSYSTEMS,Technology,Information Technology Services,246.54,50.95,15,24.26,E Avoid,40,68.0,0,0.18,15.46,48.13,Bullish,49.77,15.0,20.06,E Avoid,4.2,1.18,0.0,No Major Change
01.09.2026 at 10:07 AM IST,BBTC,Consumer Defensive,Packaged Foods,1511.1,53.1,15,19.96,E Avoid,45,43.0,8,0.05,14.95,28.54,Bullish,52.02,15.0,15.81,E Avoid,4.15,1.08,0.0,No Major Change
01.09.2026 at 10:07 AM IST,CPCAP,Financial Services,Credit Services,119.69,52.08,0,49.55,C Neutral,55,44.0,58,0.0,62.82,25.61,Bullish,49.23,0.0,45.45,C Neutral,4.1,2.85,0.0,No Major Change
01.09.2026 at 10:07 AM IST,CYBERMEDIA,Communication Services,Publishing,18.95,70.64,0,37.79,D Weak,57,15.0,55,2.75,67.7,16.92,Bullish,66.54,0.0,33.72,E Avoid,4.07,4.1,0.0,"RSI Overbought, Band Changed: E Avoid → D Weak"
