combo_id,combo_name,symbol,current_price,final_conviction_score,score_band,range_status,range_score,rsi,trend,risk_penalty,distance_pct,distance_from_high_pct,return_1m,return_3m,sector,industry,data_completeness_status
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,CARERATING,1600.9,47.39,C Watch,Lower Range Watch,80.66,42.25,Bearish,0,14.95,17.54,-5.46,-1.14,Financial Services,Financial Data & Stock Exchanges,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,STUDDS,447.4,36.92,D Weak Watch,Accumulation Zone,89.28,42.23,Bearish,0,4.64,25.43,-8.64,-13.99,Consumer Cyclical,Auto Parts,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,ORKLAINDIA,610.1,35.87,D Weak Watch,Neutral Range,66.5,39.05,Bearish,0,14.41,19.72,-4.42,1.5,Consumer Defensive,Packaged Foods,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,CAPILLARY,510.15,33.81,D Weak Watch,Accumulation Zone,73.94,39.63,Bearish,0,9.89,36.15,-7.48,-1.7,Technology,Software - Infrastructure,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,FABTECH,151.43,38.15,D Weak Watch,Wide / Volatile Range,50.0,44.05,Bearish,0,14.11,42.38,-10.2,-1.67,Healthcare,Health Information Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,SKFINDUS,2146.5,25.86,D Weak Watch,Accumulation Zone,81.27,48.85,Bearish,0,7.64,22.4,-2.0,-15.54,Industrials,Tools & Accessories,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,EFCIL,178.86,33.55,D Weak Watch,Wide / Volatile Range,50.0,41.74,Bearish,0,4.26,49.9,-6.98,-23.35,Real Estate,Real Estate Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,WAKEFIT,120.76,32.02,D Weak Watch,Wide / Volatile Range,50.0,35.59,Bearish,0,1.72,46.09,-15.59,-37.82,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,BAYERCROP,4522.0,39.66,D Weak Watch,Lower Range Watch,73.42,50.17,Bearish,15,5.83,28.72,-5.08,-4.35,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,TATACAP,300.95,21.59,D Weak Watch,Accumulation Zone,84.14,39.05,Bearish,0,1.4,18.06,-8.32,-9.98,Financial Services,Credit Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,CEINSYS,950.05,42.36,C Watch,,0.0,44.7,Bearish,0,11.12,23.99,-9.64,-3.82,Industrials,Engineering & Construction,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,RECLTD,331.4,37.54,D Weak Watch,Accumulation Zone,77.68,37.04,Bearish,15,9.0,18.52,-6.25,-5.5,Financial Services,Credit Services,Fundamentals Missing
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,TATAELXSI,4302.9,36.51,D Weak Watch,Accumulation Zone,76.62,53.57,Bullish,15,9.07,35.59,2.97,-4.54,Technology,Software - Application,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,SINCLAIR,73.58,35.29,D Weak Watch,Accumulation Zone,73.18,36.6,Bearish,15,6.92,35.88,-7.42,-1.51,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,BBTC,1505.3,31.62,D Weak Watch,Accumulation Zone,86.59,47.27,Bullish,15,14.51,29.48,0.28,-14.67,Consumer Defensive,Packaged Foods,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,TCS,2297.4,32.71,D Weak Watch,Accumulation Zone,81.84,44.51,Bearish,15,5.54,32.51,-4.23,-12.05,Technology,Information Technology Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,BIKAJI,664.9,32.42,D Weak Watch,Lower Range Watch,82.57,52.99,Bullish,15,12.21,18.79,-1.74,5.72,Consumer Defensive,Packaged Foods,Complete
