performance_scan_time,signal_date,days_passed,horizon_bucket,symbol,sector,industry,sector_bucket,signal_type,signal_direction,signal_strength,entry_price,latest_price,return_pct,is_success,result_status,entry_final_score,latest_final_score,entry_technical_score,latest_technical_score,entry_fundamental_score,latest_fundamental_score,entry_active_fundamental_score,latest_active_fundamental_score,entry_relative_strength_score,latest_relative_strength_score,entry_risk_penalty,latest_risk_penalty,entry_rsi,latest_rsi,entry_score_band,latest_score_band,entry_range_status,latest_range_status,entry_range_score,latest_range_score,entry_current_position_pct,latest_current_position_pct
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,HAL,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Near 52W High Momentum,Bullish,Normal,4500.7,4476.8,-0.53,False,Neutral,50.54,43.86,65.0,60.0,51.0,51.0,57.0,57.0,38.0,20.0,0.0,0.0,58.45,55.98,C Neutral,D Weak,Profit Booking Zone,Profit Booking Zone,63.13,65.03,96.99,93.29
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,HAL,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Low Risk Quality,Bullish,Normal,4500.7,4476.8,-0.53,False,Neutral,50.54,43.86,65.0,60.0,51.0,51.0,57.0,57.0,38.0,20.0,0.0,0.0,58.45,55.98,C Neutral,D Weak,Profit Booking Zone,Profit Booking Zone,63.13,65.03,96.99,93.29
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,HAL,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Range Profit Booking Zone,Bearish,Normal,4500.7,4476.8,-0.53,True,Neutral,50.54,43.86,65.0,60.0,51.0,51.0,57.0,57.0,38.0,20.0,0.0,0.0,58.45,55.98,C Neutral,D Weak,Profit Booking Zone,Profit Booking Zone,63.13,65.03,96.99,93.29
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,CYIENTDLM,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Near 52W High Momentum,Bullish,Normal,578.65,593.35,2.54,True,Working,46.54,43.66,57.0,52.0,26.0,24.0,32.0,30.0,65.0,65.0,0.0,0.0,72.02,74.22,C Neutral,D Weak,Wide / Volatile Range,Wide / Volatile Range,45.23,44.94,100.0,100.0
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,CYIENTDLM,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Relative Strength Leader,Bullish,Normal,578.65,593.35,2.54,True,Working,46.54,43.66,57.0,52.0,26.0,24.0,32.0,30.0,65.0,65.0,0.0,0.0,72.02,74.22,C Neutral,D Weak,Wide / Volatile Range,Wide / Volatile Range,45.23,44.94,100.0,100.0
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,ICICIBANK,Financial Services,Banks - Regional,BANK,Near 52W High Momentum,Bullish,Normal,1444.3,1451.2,0.48,True,Neutral,45.86,46.11,57.0,62.0,38.0,38.0,49.0,49.0,38.0,38.0,0.0,0.0,70.84,72.05,C Neutral,C Neutral,Profit Booking Zone,Profit Booking Zone,62.34,62.35,100.0,100.0
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,ICICIBANK,Financial Services,Banks - Regional,BANK,Range Profit Booking Zone,Bearish,Normal,1444.3,1451.2,0.48,False,Neutral,45.86,46.11,57.0,62.0,38.0,38.0,49.0,49.0,38.0,38.0,0.0,0.0,70.84,72.05,C Neutral,C Neutral,Profit Booking Zone,Profit Booking Zone,62.34,62.35,100.0,100.0
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,ZENTEC,Industrials,Aerospace & Defense,CAPITAL_GOODS_INFRA,Range Profit Booking Zone,Bearish,Normal,1769.7,1737.1,-1.84,True,Neutral,39.99,34.31,42.0,23.0,47.0,47.0,49.0,49.0,30.0,30.0,0.0,0.0,46.92,43.83,D Weak,E Avoid,Profit Booking Zone,Profit Booking Zone,53.53,51.73,89.84,83.04
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,AXISBANK,Financial Services,Banks - Regional,BANK,Near 52W High Momentum,Bullish,Normal,1328.5,1251.6,-5.79,False,Failing,35.31,0.0,75.0,28.0,21.0,17.0,26.0,22.0,10.0,0.0,0.0,20.0,50.47,33.58,D Weak,E Avoid,Neutral Range,Accumulation Zone,67.43,73.31,69.22,12.97
20.07.2026 at 01:08 PM IST,2026-07-17,3,3D,AXISBANK,Financial Services,Banks - Regional,BANK,Avoid / Risky,Bearish,High,1328.5,1251.6,-5.79,True,Correct Warning,35.31,0.0,75.0,28.0,21.0,17.0,26.0,22.0,10.0,0.0,0.0,20.0,50.47,33.58,D Weak,E Avoid,Neutral Range,Accumulation Zone,67.43,73.31,69.22,12.97
