scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,RELIGARE,Unknown,Unknown,234.2,2.79,196.51,280.0,19.18,16.36,43.93,253.2,237.95,1173358.65,582315.0,0.5,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,REDTAPE,Unknown,Unknown,124.26,1.39,105.92,161.06,17.31,22.85,44.89,129.96,125.39,552697.55,503927.0,0.91,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,RCF,Unknown,Unknown,121.77,-0.46,106.0,161.77,14.88,24.73,43.43,127.59,130.34,1594417.35,704727.0,0.44,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ASIANTILES,Unknown,Unknown,47.02,0.64,42.5,79.06,10.64,40.53,41.41,51.21,62.94,6113426.9,3539428.0,0.58,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ASHOKAMET,Unknown,Unknown,13.51,0.07,12.13,21.0,11.38,35.67,37.15,14.37,15.03,15075.55,12184.0,0.81,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ASHOKA,Unknown,Unknown,113.05,-0.89,101.0,214.5,11.93,47.3,35.34,123.25,138.66,665835.6,305638.0,0.46,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ANTGRAPHIC,Unknown,Unknown,0.72,-1.37,0.64,1.22,12.5,40.98,38.37,0.76,0.86,136056.15,54840.0,0.4,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,ANMOL,Unknown,Unknown,9.99,-0.4,8.4,17.74,18.93,43.69,42.13,10.55,11.94,30592.8,15057.0,0.49,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,DELTAMAGNT,Unknown,Unknown,57.22,-1.05,45.51,93.45,25.73,38.77,45.69,59.0,62.17,4113.6,5090.0,1.24,Bearish,0,10,8,5,15,8,8,"RSI recovering zone, Within 30% of 52W low, Normal volume support, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KALAMANDIR,Unknown,Unknown,86.48,-1.5,84.5,219.28,2.34,60.56,43.07,93.55,112.64,408986.35,257232.0,0.63,Bearish,0,8,20,0,20,8,8,"Weak but watchable RSI, Near 52W low with non-crashing RSI, Below 200 DMA risk, Very far from 52W high"
