symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
TCS,Information Technology,2246.0,-1.18,2206.4,3479.74,1.79,35.46,26.65,2464.51,2885.01,1.53,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
INFY,Information Technology,1095.0,-2.5,1089.0,1728.0,0.55,36.63,27.11,1248.38,1447.5,1.34,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
RELIANCE,Oil Gas & Consumable Fuels,1361.8,0.22,1290.0,1611.8,5.57,15.51,43.43,1380.73,1431.52,0.91,Bearish,45,"Near 52W low, RSI weak/oversold"
ICICIBANK,Financial Services,1246.0,0.84,1187.6,1488.51,4.92,16.29,40.44,1289.17,1366.58,0.95,Bearish,45,"Near 52W low, RSI weak/oversold"
KOTAKBANK,Financial Services,383.2,1.47,345.5,453.2,10.91,15.45,54.75,377.45,407.4,0.55,Bullish,45,"Near 52W low, Above 50 DMA"
ITC,Fast Moving Consumer Goods,307.2,0.9,287.0,427.21,7.04,28.09,50.98,304.25,360.18,0.62,Bullish,45,"Near 52W low, Above 50 DMA"
SBIN,Financial Services,962.55,1.01,765.07,1212.84,25.81,20.64,33.77,1050.52,958.24,0.91,Bearish,40,"RSI weak/oversold, Above 200 DMA"
HDFCBANK,Financial Services,769.55,2.66,726.65,1020.5,5.9,24.59,45.06,798.42,928.69,1.44,Bearish,40,"Near 52W low, Volume expansion"
LT,Construction,3940.4,0.63,3288.1,4440.0,19.84,11.25,48.76,3860.46,3869.84,1.1,Bullish,40,"Above 50 DMA, Above 200 DMA"
AXISBANK,Financial Services,1254.6,-0.09,1042.5,1418.3,20.35,11.54,41.35,1283.09,1230.56,0.86,Bearish,40,"RSI weak/oversold, Above 200 DMA"
