symbol,company_name,series,isin,sector,industry
CRAMC,Canara Robeco Asset Management Company Limited,EQ,INE218I01013,Financial Services,Asset Management
CREATIVEYE,Creative Eye Limited,EQ,INE230B01021,Unknown,Unknown
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,INE741K01010,Financial Services,Credit Services
CREST,Crest Ventures Limited,EQ,INE559D01011,Unknown,Unknown
CRISIL,CRISIL Limited,EQ,INE007A01025,Financial Services,Financial Data & Stock Exchanges
CRIZAC,Crizac Limited,EQ,INE0S4R01014,Unknown,Unknown
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,INE299U01018,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CROWN,Crown Lifters Limited,EQ,INE491V01019,Unknown,Unknown
CSBBANK,CSB Bank Limited,EQ,INE679A01013,Unknown,Unknown
CSLFINANCE,CSL Finance Limited,EQ,INE718F01018,Unknown,Unknown
CUB,City Union Bank Limited,EQ,INE491A01021,Financial Services,Banks - Regional
CUBEXTUB,Cubex Tubings Limited,EQ,INE144D01012,Basic Materials,Copper
CUMMINSIND,Cummins India Limited,EQ,INE298A01020,Industrials,Specialty Industrial Machinery
CUPID,Cupid Limited,EQ,INE509F01029,Consumer Defensive,Household & Personal Products
CYBERTECH,Cybertech Systems And Software Limited,EQ,INE214A01019,Unknown,Unknown
CYIENT,Cyient Limited,EQ,INE136B01020,Unknown,Unknown
CYIENTDLM,Cyient DLM Limited,EQ,INE055S01018,Technology,Electronic Components
DABUR,Dabur India Limited,EQ,INE016A01026,Unknown,Unknown
DAICHI,Dai-Ichi Karkaria Limited,EQ,INE928C01010,Unknown,Unknown
DALBHARAT,Dalmia Bharat Limited,EQ,INE00R701025,Unknown,Unknown
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,INE495A01022,Consumer Defensive,Confectioners
DAMCAPITAL,Dam Capital Advisors Limited,EQ,INE284H01025,Unknown,Unknown
DAMODARIND,Damodar Industries Limited,EQ,INE497D01022,Unknown,Unknown
DANGEE,Dangee Dums Limited,EQ,INE688Y01022,Unknown,Unknown
DATAMATICS,Datamatics Global Services Limited,EQ,INE365B01017,Unknown,Unknown
DATAPATTNS,Data Patterns (India) Limited,EQ,INE0IX101010,Industrials,Aerospace & Defense
DAVANGERE,Davangere Sugar Company Limited,EQ,INE179G01029,Consumer Defensive,Confectioners
DBCORP,D.B.Corp Limited,EQ,INE950I01011,Unknown,Unknown
DBEIL,Deepak Builders & Engineers India Limited,EQ,INE0OPA01019,Unknown,Unknown
DBL,Dilip Buildcon Limited,EQ,INE917M01012,Unknown,Unknown
DBREALTY,Valor Estate Limited,EQ,INE879I01012,Unknown,Unknown
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,INE921B01025,Financial Services,Capital Markets
DCAL,Dishman Carbogen Amcis Limited,EQ,INE385W01011,Unknown,Unknown
DCBBANK,DCB Bank Limited,EQ,INE503A01015,Financial Services,Banks - Regional
DCM,DCM  Limited,EQ,INE498A01018,Unknown,Unknown
DCMNVL,DCM Nouvelle Limited,EQ,INE08KP01019,Consumer Cyclical,Textile Manufacturing
DCMSHRIRAM,DCM Shriram Limited,EQ,INE499A01024,Unknown,Unknown
DCMSRIND,DCM Shriram Industries Limited,EQ,INE843D01027,Unknown,Unknown
DCW,DCW Limited,EQ,INE500A01029,Unknown,Unknown
DCXINDIA,DCX Systems Limited,EQ,INE0KL801015,Unknown,Unknown
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,INE0HR601026,Unknown,Unknown
DECCANCE,Deccan Cements Limited,EQ,INE583C01021,Unknown,Unknown
DECNGOLD,Deccan Gold Mines Limited,EQ,INE945F01025,Unknown,Unknown
DEEDEV,DEE Development Engineers Limited,EQ,INE841L01016,Industrials,Metal Fabrication
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,INE501A01019,Basic Materials,Chemicals
DEEPAKNTR,Deepak Nitrite Limited,EQ,INE288B01029,Basic Materials,Chemicals
DEEPINDS,Deep Industries Limited,EQ,INE0FHS01024,Energy,Oil & Gas E&P
DELHIVERY,Delhivery Limited,EQ,INE148O01028,Industrials,Integrated Freight & Logistics
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,INE726L01027,Unknown,Unknown
DELTACORP,Delta Corp Limited,EQ,INE124G01033,Unknown,Unknown
DELTAMAGNT,Delta Manufacturing Limited,EQ,INE393A01011,Unknown,Unknown
DEN,Den Networks Limited,EQ,INE947J01015,Unknown,Unknown
DENORA,De Nora India Limited,EQ,INE244A01016,Unknown,Unknown
DENTA,Denta Water and Infra Solutions Limited,EQ,INE0R4L01018,Unknown,Unknown
DEVIT,Dev Information Technology Limited,EQ,INE060X01034,Unknown,Unknown
DEVX,Dev Accelerator Limited,EQ,INE0VOV01021,Real Estate,Real Estate Services
DEVYANI,Devyani International Limited,EQ,INE872J01023,Unknown,Unknown
DGCONTENT,Digicontent Limited,EQ,INE03JI01017,Unknown,Unknown
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,INE041A01016,Consumer Defensive,Confectioners
DHANBANK,Dhanlaxmi Bank Limited,EQ,INE680A01011,Financial Services,Banks - Regional
DHANUKA,Dhanuka Agritech Limited,EQ,INE435G01025,Unknown,Unknown
DHARMAJ,Dharmaj Crop Guard Limited,EQ,INE00OQ01016,Unknown,Unknown
DHUNINV,Dhunseri Investments Limited,EQ,INE320L01011,Unknown,Unknown
DIACABS,Diamond Power Infrastructure Limited,EQ,INE989C01038,Industrials,Specialty Industrial Machinery
DIAMINESQ,Diamines & Chemicals Limited,EQ,INE591D01014,Unknown,Unknown
DIAMONDYD,Prataap Snacks Limited,EQ,INE393P01035,Unknown,Unknown
DICIND,DIC India Limited,EQ,INE303A01010,Unknown,Unknown
DIFFNKG,Diffusion Engineers Limited,EQ,INE184O01015,Unknown,Unknown
DIGIDRIVE,Digidrive Distributors Limited,EQ,INE0PSC01024,Unknown,Unknown
DIGITIDE,Digitide Solutions Limited,EQ,INE0U4701011,Unknown,Unknown
DIGJAMLMTD,Digjam Limited,EQ,INE731U01028,Unknown,Unknown
