symbol,company_name,series,isin,sector,industry
GHCLTEXTIL,GHCL Textiles Limited,EQ,INE0PA801013,Consumer Cyclical,Textile Manufacturing
GICHSGFIN,GIC Housing Finance Limited,EQ,INE289B01019,Unknown,Unknown
GICL,Globe International Carriers Limited,EQ,INE947T01022,Unknown,Unknown
GICRE,General Insurance Corporation of India,EQ,INE481Y01014,Financial Services,Insurance - Reinsurance
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,INE047B01011,Unknown,Unknown
GILLETTE,Gillette India Limited,EQ,INE322A01010,Unknown,Unknown
GINNIFILA,Ginni Filaments Limited,EQ,INE424C01010,Consumer Cyclical,Textile Manufacturing
GIPCL,Gujarat Industries Power Company Limited,EQ,INE162A01010,Unknown,Unknown
GKENERGY,GK Energy Limited,EQ,INE1AG301022,Utilities,Utilities - Renewable
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,INE0V0W01025,Healthcare,Medical Care Facilities
GKWLIMITED,GKW Limited,EQ,INE528A01020,Unknown,Unknown
GLAND,Gland Pharma Limited,EQ,INE068V01023,Healthcare,Drug Manufacturers - Specialty & Generic
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,INE159A01016,Healthcare,Drug Manufacturers - General
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,INE935A01035,Healthcare,Drug Manufacturers - Specialty & Generic
GLOBAL,Global Education Limited,EQ,INE291W01037,Consumer Defensive,Education & Training Services
GLOBALVECT,Global Vectra Helicorp Limited,EQ,INE792H01019,Unknown,Unknown
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,INE581X01021,Unknown,Unknown
GLOBUSSPR,Globus Spirits Limited,EQ,INE615I01010,Unknown,Unknown
GLOSTERLTD,Gloster Limited,EQ,INE350Z01018,Consumer Cyclical,Textile Manufacturing
GLOTTIS,Glottis Limited,EQ,INE0TQE01026,Industrials,Integrated Freight & Logistics
GMBREW,GM Breweries Limited,EQ,INE075D01018,Unknown,Unknown
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,INE131A01031,Energy,Thermal Coal
GMMPFAUDLR,GMM Pfaudler Limited,EQ,INE541A01023,Unknown,Unknown
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,INE776C01039,Industrials,Airports & Air Services
GMRP&UI,GMR Power and Urban Infra Limited,EQ,INE0CU601026,Energy,Thermal Coal
GNA,GNA Axles Limited,EQ,INE934S01014,Consumer Cyclical,Auto Parts
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,INE113A01013,Basic Materials,Chemicals
GNRL,Gujarat Natural Resources Limited,EQ,INE207H01018,Unknown,Unknown
GOACARBON,Goa Carbon Limited,EQ,INE426D01013,Unknown,Unknown
GOCLCORP,GOCL Corporation Limited,EQ,INE077F01035,Unknown,Unknown
GOCOLORS,Go Fashion (India) Limited,EQ,INE0BJS01011,Unknown,Unknown
GODAVARIB,Godavari Biorefineries Limited,EQ,INE497S01012,Basic Materials,Chemicals
GODFRYPHLP,Godfrey Phillips India Limited,EQ,INE260B01028,Unknown,Unknown
GODIGIT,Go Digit General Insurance Limited,EQ,INE03JT01014,Financial Services,Insurance - Property & Casualty
GODREJAGRO,Godrej Agrovet Limited,EQ,INE850D01014,Consumer Defensive,Packaged Foods
GODREJCP,Godrej Consumer Products Limited,EQ,INE102D01028,Consumer Defensive,Household & Personal Products
GODREJIND,Godrej Industries Limited,EQ,INE233A01035,Industrials,Conglomerates
GODREJPROP,Godrej Properties Limited,EQ,INE484J01027,Unknown,Unknown
GOKEX,Gokaldas Exports Limited,EQ,INE887G01027,Unknown,Unknown
GOKUL,Gokul Refoils and Solvent Limited,EQ,INE020J01029,Consumer Defensive,Packaged Foods
GOKULAGRO,Gokul Agro Resources Limited,EQ,INE314T01033,Consumer Defensive,Packaged Foods
GOLDIAM,Goldiam International Limited,EQ,INE025B01025,Consumer Cyclical,Luxury Goods
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,INE805A01014,Unknown,Unknown
GOODLUCK,Goodluck India Limited,EQ,INE127I01024,Basic Materials,Steel
GOODYEAR,Goodyear India Limited,EQ,INE533A01012,Unknown,Unknown
GOPAL,Gopal Snacks Limited,EQ,INE0L9R01028,Unknown,Unknown
GOYALALUM,Goyal Aluminiums Limited,EQ,INE705X01026,Unknown,Unknown
GPIL,Godawari Power And Ispat limited,EQ,INE177H01039,Basic Materials,Steel
GPPL,Gujarat Pipavav Port Limited,EQ,INE517F01014,Unknown,Unknown
GPTHEALTH,GPT Healthcare Limited,EQ,INE486R01017,Healthcare,Medical Care Facilities
GPTINFRA,GPT Infraprojects Limited,EQ,INE390G01014,Industrials,Engineering & Construction
GRANDOAK,Grand Oak Canyons Distillery Limited,EQ,INE926B01016,Unknown,Unknown
GRANULES,Granules India Limited,EQ,INE101D01020,Healthcare,Drug Manufacturers - Specialty & Generic
GRAPHITE,Graphite India Limited,EQ,INE371A01025,Industrials,Electrical Equipment & Parts
GRASIM,Grasim Industries Limited,EQ,INE047A01021,Basic Materials,Building Materials
GRAUWEIL,Grauer & Weil India Limited,EQ,INE266D01021,Unknown,Unknown
GRAVISSHO,Graviss Hospitality Limited,EQ,INE214F01026,Unknown,Unknown
GRAVITA,Gravita India Limited,EQ,INE024L01027,Industrials,Metal Fabrication
GREAVESCOT,Greaves Cotton Limited,EQ,INE224A01026,Unknown,Unknown
GREENLAM,Greenlam Industries Limited,EQ,INE544R01021,Unknown,Unknown
GREENPANEL,Greenpanel Industries Limited,EQ,INE08ZM01014,Unknown,Unknown
GREENPLY,Greenply Industries Limited,EQ,INE461C01038,Unknown,Unknown
GREENPOWER,Orient Green Power Company Limited,EQ,INE999K01014,Unknown,Unknown
GRINDWELL,Grindwell Norton Limited,EQ,INE536A01023,Industrials,Building Products & Equipment
GRINFRA,G R Infraprojects Limited,EQ,INE201P01022,Unknown,Unknown
GRMOVER,GRM Overseas Limited,EQ,INE192H01020,Consumer Defensive,Packaged Foods
GROBTEA,The Grob Tea Company Limited,EQ,INE646C01018,Consumer Defensive,Farm Products
GROWW,Billionbrains Garage Ventures Limited,EQ,INE0HOQ01053,Financial Services,Capital Markets
GRPLTD,GRP Limited,EQ,INE137I01015,Unknown,Unknown
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,INE382Z01011,Industrials,Aerospace & Defense
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,INE291A01017,Basic Materials,Specialty Chemicals
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,INE026A01025,Unknown,Unknown
GSLSU,Global Surfaces Limited,EQ,INE0JSX01015,Unknown,Unknown
GSPCROP,GSP Crop Science Limited,EQ,INE713R01022,Unknown,Unknown
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,INE586X01012,Unknown,Unknown
GTLINFRA,GTL Infrastructure Limited,EQ,INE221H01019,Technology,Communication Equipment
GTPL,GTPL Hathway Limited,EQ,INE869I01013,Unknown,Unknown
GUFICBIO,Gufic Biosciences Limited,EQ,INE742B01025,Unknown,Unknown
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,INE186A01019,Basic Materials,Chemicals
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,INE826C01016,Unknown,Unknown
GUJGASLTD,Gujarat Gas Limited,EQ,INE844O01030,Unknown,Unknown
GUJRAFFIA,Gujarat Raffia Industries Limited,EQ,INE610B01024,Unknown,Unknown
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,INE942C01045,Unknown,Unknown
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,INE635Q01029,Unknown,Unknown
GULFPETRO,GP Petroleums Limited,EQ,INE586G01017,Unknown,Unknown
GULPOLY,Gulshan Polyols Limited,EQ,INE255D01024,Basic Materials,Chemicals
GVPTECH,GVP Infotech Limited,EQ,INE382T01030,Unknown,Unknown
GVT&D,GE Vernova T&D India Limited,EQ,INE200A01026,Industrials,Specialty Industrial Machinery
HAL,Hindustan Aeronautics Limited,EQ,INE066F01020,Unknown,Unknown
HALDER,Halder Venture Limited,EQ,INE115S01010,Consumer Defensive,Farm Products
HALDYNGL,Haldyn Glass Limited,EQ,INE506D01020,Unknown,Unknown
HALEOSLABS,HALEOS LABS LIMITED,EQ,INE320X01016,Healthcare,Biotechnology
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,INE419U01012,Unknown,Unknown
HAPPYFORGE,Happy Forgings Limited,EQ,INE330T01021,Industrials,Metal Fabrication
HARDWYN,Hardwyn India Limited,EQ,INE626Z01029,Industrials,Building Products & Equipment
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,INE00EV01017,Unknown,Unknown
HARRMALAYA,Harrisons  Malayalam Limited,EQ,INE544A01019,Consumer Defensive,Farm Products
HARSHA,Harsha Engineers International Limited,EQ,INE0JUS01029,Industrials,Tools & Accessories
HATHWAY,Hathway Cable & Datacom Limited,EQ,INE982F01036,Unknown,Unknown
HATSUN,Hatsun Agro Product Limited,EQ,INE473B01035,Unknown,Unknown
HAVELLS,Havells India Limited,EQ,INE176B01034,Unknown,Unknown
HAWKINCOOK,Hawkins Cookers Limited,EQ,INE979B01015,Unknown,Unknown
HBESD,HB Estate Developers Limited,EQ,INE640B01021,Unknown,Unknown
HBLENGINE,HBL Engineering Limited,EQ,INE292B01021,Unknown,Unknown
HCC,Hindustan Construction Company Limited,EQ,INE549A01026,Unknown,Unknown
HCG,Healthcare Global Enterprises Limited,EQ,INE075I01017,Unknown,Unknown
HCL-INSYS,HCL Infosystems Limited,EQ,INE236A01020,Unknown,Unknown
HCLTECH,HCL Technologies Limited,EQ,INE860A01027,Technology,Information Technology Services
HDBFS,HDB Financial Services Limited,EQ,INE756I01012,Unknown,Unknown
HDFCAMC,HDFC Asset Management Company Limited,EQ,INE127D01025,Financial Services,Asset Management
HDFCBANK,HDFC Bank Limited,EQ,INE040A01034,Unknown,Unknown
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,INE795G01014,Unknown,Unknown
HEADSUP,Heads UP Ventures Limited,EQ,INE759V01019,Unknown,Unknown
HEALTHX,Health X Platform Limited,EQ,INE019J01013,Unknown,Unknown
HECPROJECT,HEC Infra Projects Limited,EQ,INE558R01013,Unknown,Unknown
HEG,HEG Limited,EQ,INE545A01024,Industrials,Electrical Equipment & Parts
HEIDELBERG,HeidelbergCement India Limited,EQ,INE578A01017,Unknown,Unknown
HEMIPROP,Hemisphere Properties India Limited,EQ,INE0AJG01018,Real Estate,Real Estate - Diversified
HERANBA,Heranba Industries Limited,EQ,INE694N01015,Unknown,Unknown
HERITGFOOD,Heritage Foods Limited,EQ,INE978A01027,Unknown,Unknown
HEROMOTOCO,Hero MotoCorp Limited,EQ,INE158A01026,Unknown,Unknown
HESTERBIO,Hester Biosciences Limited,EQ,INE782E01017,Healthcare,Drug Manufacturers - Specialty & Generic
HEXATRADEX,Hexa Tradex Limited,EQ,INE750M01017,Unknown,Unknown
HEXT,Hexaware Technologies Limited,EQ,INE093A01041,Unknown,Unknown
HFCL,HFCL Limited,EQ,INE548A01028,Technology,Communication Equipment
HGINFRA,H.G. Infra Engineering Limited,EQ,INE926X01010,Unknown,Unknown
HGM,HandsOn Global Management (HGM) Limited,EQ,INE596H01014,Technology,Information Technology Services
HGS,Hinduja Global Solutions Limited,EQ,INE170I01016,Unknown,Unknown
HIKAL,Hikal Limited,EQ,INE475B01022,Unknown,Unknown
HILTON,Hilton Metal Forging Limited,EQ,INE788H01017,Unknown,Unknown
HIMATSEIDE,Himatsingka Seide Limited,EQ,INE049A01027,Unknown,Unknown
HINDALCO,Hindalco Industries Limited,EQ,INE038A01020,Basic Materials,Aluminum
HINDCOMPOS,Hindustan Composites Limited,EQ,INE310C01029,Unknown,Unknown
HINDCOPPER,Hindustan Copper Limited,EQ,INE531E01026,Basic Materials,Copper
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,INE345A01011,Energy,Oil & Gas E&P
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,INE094A01015,Unknown,Unknown
HINDUNILVR,Hindustan Unilever Limited,EQ,INE030A01027,Consumer Defensive,Household & Personal Products
HINDWAREAP,Hindware Home Innovation Limited,EQ,INE05AN01011,Unknown,Unknown
HINDZINC,Hindustan Zinc Limited,EQ,INE267A01025,Basic Materials,Other Industrial Metals & Mining
HIRECT,Hind Rectifiers Limited,EQ,INE835D01023,Industrials,Electrical Equipment & Parts
HISARMETAL,Hisar Metal Industries Limited,EQ,INE598C01011,Unknown,Unknown
HITECH,Hi-Tech Pipes Limited,EQ,INE106T01025,Unknown,Unknown
HITECHCORP,Hitech Corporation Limited,EQ,INE120D01012,Unknown,Unknown
HLEGLAS,HLE Glascoat Limited,EQ,INE461D01028,Unknown,Unknown
HLVLTD,HLV LIMITED,EQ,INE102A01024,Unknown,Unknown
HMAAGRO,HMA Agro Industries Limited,EQ,INE0ECP01024,Consumer Defensive,Packaged Foods
HMVL,Hindustan Media Ventures Limited,EQ,INE871K01015,Unknown,Unknown
HNDFDS,Hindustan Foods Limited,EQ,INE254N01026,Industrials,Conglomerates
HOMEFIRST,Home First Finance Company India Limited,EQ,INE481N01025,Financial Services,Mortgage Finance
HONASA,Honasa Consumer Limited,EQ,INE0J5401028,Consumer Defensive,Household & Personal Products
HONAUT,Honeywell Automation India Limited,EQ,INE671A01010,Unknown,Unknown
HONDAPOWER,Honda India Power Products Limited,EQ,INE634A01018,Unknown,Unknown
HPAL,HP Adhesives Limited,EQ,INE0GSL01024,Unknown,Unknown
HPIL,Hindprakash Industries Limited,EQ,INE05X901010,Basic Materials,Specialty Chemicals
HPL,HPL Electric & Power Limited,EQ,INE495S01016,Unknown,Unknown
HSCL,Himadri Speciality Chemical Limited,EQ,INE019C01026,Basic Materials,Specialty Chemicals
HTMEDIA,HT Media Limited,EQ,INE501G01024,Unknown,Unknown
HUBTOWN,Hubtown Limited,EQ,INE703H01016,Unknown,Unknown
HUDCO,Housing & Urban Development Corporation Limited,EQ,INE031A01017,Unknown,Unknown
HUHTAMAKI,Huhtamaki India Limited,EQ,INE275B01026,Unknown,Unknown
HYBRIDFIN,Hybrid Financial Services Limited,EQ,INE965B01022,Financial Services,Capital Markets
HYUNDAI,Hyundai Motor India Limited,EQ,INE0V6F01027,Unknown,Unknown
IBULLSLTD,Indiabulls Limited,EQ,INE126M01010,Real Estate,Real Estate - Development
ICEMAKE,Ice Make Refrigeration Limited,EQ,INE520Y01019,Industrials,Specialty Industrial Machinery
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,INE346A01027,Financial Services,Asset Management
ICICIBANK,ICICI Bank Limited,EQ,INE090A01021,Unknown,Unknown
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,INE765G01017,Financial Services,Insurance - Diversified
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,INE726G01019,Unknown,Unknown
ICIL,Indo Count Industries Limited,EQ,INE483B01026,Consumer Cyclical,Textile Manufacturing
ICRA,ICRA Limited,EQ,INE725G01011,Financial Services,Financial Data & Stock Exchanges
IDBI,IDBI Bank Limited,EQ,INE008A01015,Unknown,Unknown
IDEA,Vodafone Idea Limited,EQ,INE669E01016,Communication Services,Telecom Services
IDEAFORGE,Ideaforge Technology Limited,EQ,INE349Y01013,Technology,Computer Hardware
IDFCFIRSTB,IDFC First Bank Limited,EQ,INE092T01019,Unknown,Unknown
IEX,Indian Energy Exchange Limited,EQ,INE022Q01020,Financial Services,Capital Markets
IFBAGRO,IFB Agro Industries Limited,EQ,INE076C01018,Unknown,Unknown
IFBIND,IFB Industries Limited,EQ,INE559A01017,Unknown,Unknown
IFCI,IFCI Limited,EQ,INE039A01010,Financial Services,Credit Services
IFGLEXPOR,IFGL Refractories Limited,EQ,INE133Y01011,Unknown,Unknown
IGARASHI,Igarashi Motors India Limited,EQ,INE188B01013,Unknown,Unknown
IGCL,Indogulf Cropsciences Limited,EQ,INE05J901018,Unknown,Unknown
IGIL,International Gemological Institute Limited,EQ,INE0Q9301021,Basic Materials,Other Precious Metals & Mining
IGL,Indraprastha Gas Limited,EQ,INE203G01027,Unknown,Unknown
IGPL,IG Petrochemicals Limited,EQ,INE204A01010,Basic Materials,Chemicals
IIFL,IIFL Finance Limited,EQ,INE530B01024,Unknown,Unknown
IIFLCAPS,IIFL Capital Services Limited,EQ,INE489L01022,Financial Services,Capital Markets
IITL,Industrial Investment Trust Limited,EQ,INE886A01014,Unknown,Unknown
IKIO,IKIO Technologies Limited,EQ,INE0LOJ01019,Unknown,Unknown
IKS,Inventurus Knowledge Solutions Limited,EQ,INE115Q01022,Healthcare,Health Information Services
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,INE172N01012,Unknown,Unknown
IMFA,Indian Metals & Ferro Alloys Limited,EQ,INE919H01018,Basic Materials,Other Industrial Metals & Mining
IMPAL,India Motor Parts and Accessories Limited,EQ,INE547E01014,Unknown,Unknown
INA,Insolation Energy Limited,EQ,INE0LGX01024,Unknown,Unknown
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,INE452L01012,Unknown,Unknown
INDBANK,Indbank Merchant Banking Services Limited,EQ,INE841B01017,Financial Services,Capital Markets
INDGN,Indegene Limited,EQ,INE065X01017,Unknown,Unknown
INDHOTEL,The Indian Hotels Company Limited,EQ,INE053A01029,Unknown,Unknown
INDIACEM,The India Cements Limited,EQ,INE383A01012,Unknown,Unknown
INDIAGLYCO,India Glycols Limited,EQ,INE560A01023,Basic Materials,Chemicals
INDIAMART,Indiamart Intermesh Limited,EQ,INE933S01016,Communication Services,Internet Content & Information
INDIANB,Indian Bank,EQ,INE562A01011,Financial Services,Banks - Regional
INDIANCARD,Indian Card Clothing Company Limited,EQ,INE061A01014,Unknown,Unknown
INDIANHUME,Indian Hume Pipe Company Limited,EQ,INE323C01030,Unknown,Unknown
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,INE922K01024,Unknown,Unknown
INDIGO,InterGlobe Aviation Limited,EQ,INE646L01027,Unknown,Unknown
INDIGOPNTS,Indigo Paints Limited,EQ,INE09VQ01012,Unknown,Unknown
INDIQUBE,Indiqube Spaces Limited,EQ,INE06ST01018,Real Estate,Real Estate Services
INDNIPPON,India Nippon Electricals Limited,EQ,INE092B01025,Unknown,Unknown
INDOAMIN,Indo Amines Limited,EQ,INE760F01028,Basic Materials,Chemicals
INDOBORAX,Indo Borax & Chemicals Limited,EQ,INE803D01021,Basic Materials,Chemicals
INDOCO,Indoco Remedies Limited,EQ,INE873D01024,Unknown,Unknown
INDOFARM,Indo Farm Equipment Limited,EQ,INE622H01018,Unknown,Unknown
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,INE156A01020,Unknown,Unknown
INDOSTAR,IndoStar Capital Finance Limited,EQ,INE896L01010,Unknown,Unknown
INDOTECH,Indo Tech Transformers Limited,EQ,INE332H01014,Industrials,Electrical Equipment & Parts
INDOTHAI,Indo Thai Securities Limited,EQ,INE337M01021,Unknown,Unknown
INDOUS,Indo Us Biotech Limited,EQ,INE250Z01010,Unknown,Unknown
INDPRUD,Industrial & Prudential Investment Company Limited,EQ,INE620D01011,Unknown,Unknown
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,INE681B01017,Unknown,Unknown
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,INE915B01019,Healthcare,Drug Manufacturers - Specialty & Generic
INDTERRAIN,Indian Terrain Fashions Limited,EQ,INE611L01021,Unknown,Unknown
INDUSINDBK,IndusInd Bank Limited,EQ,INE095A01012,Financial Services,Banks - Regional
INDUSTOWER,Indus Towers Limited,EQ,INE121J01017,Communication Services,Telecom Services
INFOBEAN,InfoBeans Technologies Limited,EQ,INE344S01016,Unknown,Unknown
INFOMEDIA,Infomedia Press Limited,EQ,INE669A01022,Unknown,Unknown
INFY,Infosys Limited,EQ,INE009A01021,Technology,Information Technology Services
INGERRAND,Ingersoll Rand (India) Limited,EQ,INE177A01018,Industrials,Specialty Industrial Machinery
INNOVACAP,Innova Captab Limited,EQ,INE0DUT01020,Healthcare,Drug Manufacturers - Specialty & Generic
INNOVANA,Innovana Thinklabs Limited,EQ,INE403Y01018,Unknown,Unknown
INNOVISION,Innovision Limited,EQ,INE0ADB01012,Unknown,Unknown
INOXGREEN,Inox Green Energy Services Limited,EQ,INE510W01014,Unknown,Unknown
INOXINDIA,INOX India Limited,EQ,INE616N01034,Industrials,Specialty Industrial Machinery
INOXWIND,Inox Wind Limited,EQ,INE066P01011,Unknown,Unknown
INSECTICID,Insecticides (India) Limited,EQ,INE070I01018,Basic Materials,Agricultural Inputs
INTELLECT,Intellect Design Arena Limited,EQ,INE306R01017,Unknown,Unknown
INTENTECH,Intense Technologies Limited,EQ,INE781A01025,Unknown,Unknown
INTERARCH,Interarch Building Solutions Limited,EQ,INE00M901018,Industrials,Engineering & Construction
INTLCONV,International Conveyors Limited,EQ,INE575C01027,Unknown,Unknown
INVENTURE,Inventure Growth & Securities Limited,EQ,INE878H01024,Unknown,Unknown
INVPRECQ,Investment & Precision Castings Limited,EQ,INE155E01016,Unknown,Unknown
IOB,Indian Overseas Bank,EQ,INE565A01014,Unknown,Unknown
IOC,Indian Oil Corporation Limited,EQ,INE242A01010,Unknown,Unknown
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,INE485C01029,Healthcare,Drug Manufacturers - Specialty & Generic
IONEXCHANG,ION Exchange (India) Limited,EQ,INE570A01022,Industrials,Pollution & Treatment Controls
IPCALAB,IPCA Laboratories Limited,EQ,INE571A01038,Healthcare,Drug Manufacturers - Specialty & Generic
IPL,India Pesticides Limited,EQ,INE0D6701023,Unknown,Unknown
IRB,IRB Infrastructure Developers Limited,EQ,INE821I01022,Unknown,Unknown
IRCON,Ircon International Limited,EQ,INE962Y01021,Unknown,Unknown
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,INE335Y01020,Unknown,Unknown
IREDA,Indian Renewable Energy Development Agency Limited,EQ,INE202E01016,Unknown,Unknown
IRFC,Indian Railway Finance Corporation Limited,EQ,INE053F01010,Unknown,Unknown
IRIS,IRIS RegTech Solutions Limited,EQ,INE864K01010,Unknown,Unknown
IRISDOREME,Iris Clothings Limited,EQ,INE01GN01025,Consumer Cyclical,Apparel Manufacturing
IRMENERGY,IRM Energy Limited,EQ,INE07U701015,Utilities,Utilities - Regulated Gas
ISFT,Intrasoft Technologies Limited,EQ,INE566K01011,Unknown,Unknown
ISGEC,Isgec Heavy Engineering Limited,EQ,INE858B01029,Industrials,Specialty Industrial Machinery
ISHANCH,Ishan Dyes and Chemicals Limited,EQ,INE561M01018,Basic Materials,Chemicals
ITC,ITC Limited,EQ,INE154A01025,Consumer Defensive,Tobacco
ITCHOTELS,ITC Hotels Limited,EQ,INE379A01028,Unknown,Unknown
ITDC,India Tourism Development Corporation Limited,EQ,INE353K01014,Unknown,Unknown
ITI,ITI Limited,EQ,INE248A01017,Unknown,Unknown
IVALUE,Ivalue Infosolutions Limited,EQ,INE056801025,Technology,Information Technology Services
IVC,IL&FS Investment Managers Limited,EQ,INE050B01023,Unknown,Unknown
IVP,IVP Limited,EQ,INE043C01018,Basic Materials,Specialty Chemicals
IWP,The Indian Wood Products Company Limited,EQ,INE586E01020,Unknown,Unknown
IXIGO,Le Travenues Technology Limited,EQ,INE0HV901016,Unknown,Unknown
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,INE168A01041,Financial Services,Banks - Regional
JAGRAN,Jagran Prakashan Limited,EQ,INE199G01027,Communication Services,Publishing
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,INE048B01035,Unknown,Unknown
JAIBALAJI,Jai Balaji Industries Limited,EQ,INE091G01026,Unknown,Unknown
JAICORPLTD,Jai Corp Limited,EQ,INE070D01027,Unknown,Unknown
JAINREC,Jain Resource Recycling Limited,EQ,INE0YD401026,Basic Materials,Other Industrial Metals & Mining
JAIPURKURT,Nandani Creation Limited,EQ,INE696V01013,Unknown,Unknown
JAMNAAUTO,Jamna Auto Industries Limited,EQ,INE039C01032,Unknown,Unknown
JARO,Jaro Institute of Technology Management and Research Limited,EQ,INE00YJ01010,Consumer Defensive,Education & Training Services
JASH,Jash Engineering Limited,EQ,INE039O01029,Unknown,Unknown
JAYAGROGN,Jayant Agro Organics Limited,EQ,INE785A01026,Basic Materials,Specialty Chemicals
JAYBARMARU,Jay Bharat Maruti Limited,EQ,INE571B01036,Unknown,Unknown
JAYKAY,Jaykay Enterprises Limited,EQ,INE903A01025,Unknown,Unknown
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,INE854B01010,Basic Materials,Steel
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,INE364A01020,Unknown,Unknown
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,INE572A01036,Healthcare,Drug Manufacturers - Specialty & Generic
JBMA,JBM Auto Limited,EQ,INE927D01051,Consumer Cyclical,Auto Parts
JETFREIGHT,Jet Freight Logistics Limited,EQ,INE982V01025,Industrials,Integrated Freight & Logistics
JGCHEM,J.G.Chemicals Limited,EQ,INE0MB501011,Unknown,Unknown
JINDALPHOT,Jindal Photo Limited,EQ,INE796G01012,Unknown,Unknown
JINDALPOLY,Jindal Poly Films Limited,EQ,INE197D01010,Consumer Cyclical,Packaging & Containers
JINDALSAW,Jindal Saw Limited,EQ,INE324A01032,Basic Materials,Steel
JINDALSTEL,JINDAL STEEL LIMITED,EQ,INE749A01030,Basic Materials,Steel
JINDRILL,Jindal Drilling And Industries Limited,EQ,INE742C01031,Energy,Oil & Gas Equipment & Services
JINDWORLD,Jindal Worldwide Limited,EQ,INE247D01039,Unknown,Unknown
JIOFIN,Jio Financial Services Limited,EQ,INE758E01017,Unknown,Unknown
JISLDVREQS,Jain Irrigation Systems Limited,EQ,IN9175A01010,Unknown,Unknown
JISLJALEQS,Jain Irrigation Systems Limited,EQ,INE175A01038,Unknown,Unknown
JKCEMENT,JK Cement Limited,EQ,INE823G01014,Unknown,Unknown
JKIL,J.Kumar Infraprojects Limited,EQ,INE576I01022,Unknown,Unknown
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,INE786A01032,Unknown,Unknown
JKPAPER,JK Paper Limited,EQ,INE789E01012,Basic Materials,Paper & Paper Products
JKTYRE,JK Tyre & Industries Limited,EQ,INE573A01042,Unknown,Unknown
JLHL,Jupiter Life Line Hospitals Limited,EQ,INE682M01012,Healthcare,Medical Care Facilities
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,INE412C01023,Unknown,Unknown
JMFINANCIL,JM Financial Limited,EQ,INE780C01023,Unknown,Unknown
JNKINDIA,JNK India Limited,EQ,INE0OAF01028,Industrials,Specialty Industrial Machinery
JOCIL,Jocil Limited,EQ,INE839G01010,Unknown,Unknown
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,INE147P01019,Financial Services,Asset Management
JPPOWER,Jaiprakash Power Ventures Limited,EQ,INE351F01018,Utilities,Utilities - Independent Power Producers
JSFB,Jana Small Finance Bank Limited,EQ,INE953L01027,Financial Services,Banks - Regional
JSL,Jindal Stainless Limited,EQ,INE220G01021,Unknown,Unknown
JSLL,Jeena Sikho Lifecare Limited,EQ,INE0J5801029,Unknown,Unknown
JSWCEMENT,JSW Cement Limited,EQ,INE718I01012,Basic Materials,Building Materials
JSWDULUX,JSW Dulux Limited,EQ,INE133A01011,Unknown,Unknown
JSWENERGY,JSW Energy Limited,EQ,INE121E01018,Utilities,Utilities - Independent Power Producers
JSWHL,JSW Holdings Limited,EQ,INE824G01012,Unknown,Unknown
JSWINFRA,JSW Infrastructure Limited,EQ,INE880J01026,Industrials,Marine Shipping
JSWSTEEL,JSW Steel Limited,EQ,INE019A01038,Basic Materials,Steel
