symbol,sector,industry
RAMKY,Industrials,Engineering & Construction
IFGLEXPOR,Basic Materials,Building Materials
ALPHAGEO,Energy,Oil & Gas Equipment & Services
FDC,Healthcare,Drug Manufacturers - Specialty & Generic
RAMAPHO,Basic Materials,Agricultural Inputs
PNGJL,Consumer Cyclical,Luxury Goods
NECCLTD,Industrials,Trucking
SIRCA,Basic Materials,Specialty Chemicals
NAUKRI,Communication Services,Internet Content & Information
AHLUCONT,Industrials,Engineering & Construction
VLSFINANCE,Financial Services,Capital Markets
SHRADHA,Real Estate,Real Estate - Development
EIEL,Industrials,Engineering & Construction
ASHAPURMIN,Basic Materials,Other Industrial Metals & Mining
NRL,Industrials,Waste Management
INOXWIND,Industrials,Specialty Industrial Machinery
HYBRIDFIN,Financial Services,Capital Markets
RGL,Consumer Cyclical,Luxury Goods
ANDHRAPAP,Basic Materials,Paper & Paper Products
HARIOMPIPE,Basic Materials,Steel
KELLTONTEC,Technology,Software - Application
RADIANTCMS,Industrials,Specialty Business Services
CROWN,Industrials,Rental & Leasing Services
ICICIBANK,Financial Services,Banks - Regional
TIRUMALCHM,Basic Materials,Specialty Chemicals
DOMS,Industrials,Business Equipment & Supplies
MASFIN,Financial Services,Credit Services
STARPAPER,Basic Materials,Paper & Paper Products
MAHEPC,Industrials,Farm & Heavy Construction Machinery
SIL,Consumer Cyclical,Textile Manufacturing
GROBTEA,Consumer Defensive,Farm Products
ARE&M,Industrials,Electrical Equipment & Parts
OLAELEC,Consumer Cyclical,Auto Manufacturers
GREENLAM,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NBIFIN,Financial Services,Capital Markets
PATELENG,Industrials,Engineering & Construction
PARADEEP,Basic Materials,Agricultural Inputs
TTKPRESTIG,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SOLEX,Technology,Solar
THEMISMED,Healthcare,Drug Manufacturers - Specialty & Generic
INDTERRAIN,Consumer Cyclical,Apparel Retail
IRCON,Industrials,Engineering & Construction
PNB,Financial Services,Banks - Regional
PNBGILTS,Financial Services,Capital Markets
HDFCLIFE,Financial Services,Insurance - Life
MICEL,Technology,Electronic Components
GEEKAYWIRE,Industrials,Electrical Equipment & Parts
COCHINSHIP,Industrials,Aerospace & Defense
SHREECEM,Basic Materials,Building Materials
PSB,Financial Services,Banks - Regional
NAHARPOLY,Consumer Cyclical,Packaging & Containers
MINDACORP,Consumer Cyclical,Auto Parts
SHRIRAMPPS,Real Estate,Real Estate - Development
APOLSINHOT,Industrials,Specialty Business Services
BPCL,Energy,Oil & Gas Refining & Marketing
TVTODAY,Communication Services,Broadcasting
BECTORFOOD,Consumer Defensive,Packaged Foods
GOPAL,Consumer Defensive,Packaged Foods
JUBLFOOD,Consumer Cyclical,Restaurants
CREST,Financial Services,Financial Conglomerates
MEDICAMEQ,Healthcare,Drug Manufacturers - Specialty & Generic
XELPMOC,Technology,Information Technology Services
JYOTICNC,Industrials,Specialty Industrial Machinery
BOMDYEING,Consumer Cyclical,Textile Manufacturing
KALYANKJIL,Consumer Cyclical,Luxury Goods
FINPIPE,Industrials,Building Products & Equipment
GULFOILLUB,Basic Materials,Specialty Chemicals
HMVL,Communication Services,Publishing
CUB,Financial Services,Banks - Regional
STARCEMENT,Basic Materials,Building Materials
TTKHLTCARE,Healthcare,Drug Manufacturers - General
ARROWGREEN,Consumer Cyclical,Packaging & Containers
SUMICHEM,Basic Materials,Agricultural Inputs
SBILIFE,Financial Services,Insurance - Life
INDIANCARD,Consumer Cyclical,Textile Manufacturing
BANKBARODA,Financial Services,Banks - Regional
ZEEL,Communication Services,Broadcasting
ALANKIT,Technology,Information Technology Services
IOC,Energy,Oil & Gas Refining & Marketing
DYNPRO,Basic Materials,Specialty Chemicals
EMKAY,Financial Services,Capital Markets
KEYFINSERV,Financial Services,Capital Markets
HPIL,Basic Materials,Specialty Chemicals
CANBK,Financial Services,Banks - Regional
BASF,Basic Materials,Specialty Chemicals
RITES,Industrials,Engineering & Construction
SIMPLEXINF,Industrials,Engineering & Construction
BHAGERIA,Basic Materials,Specialty Chemicals
AIROLAM,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CENTURYPLY,Basic Materials,Lumber & Wood Production
TREL,Real Estate,Real Estate Services
RAJSREESUG,Consumer Defensive,Confectioners
GANECOS,Consumer Cyclical,Textile Manufacturing
IGARASHI,Consumer Cyclical,Auto Parts
INDOFARM,Industrials,Farm & Heavy Construction Machinery
BASML,Consumer Cyclical,Textile Manufacturing
ARVINDFASN,Consumer Cyclical,Apparel Manufacturing
GUJRAFFIA,Unknown,Unknown
LAMBODHARA,Consumer Cyclical,Textile Manufacturing
MADRASFERT,Basic Materials,Agricultural Inputs
POLYPLEX,Basic Materials,Specialty Chemicals
AJMERA,Real Estate,Real Estate - Development
JYOTISTRUC,Industrials,Specialty Industrial Machinery
MFML,Consumer Cyclical,Textile Manufacturing
BANG,Consumer Cyclical,Apparel Manufacturing
SHREERAMA,Consumer Cyclical,Packaging & Containers
SATIA,Basic Materials,Paper & Paper Products
CSBBANK,Financial Services,Banks - Regional
NAGREEKEXP,Consumer Cyclical,Textile Manufacturing
JAYSREETEA,Consumer Defensive,Farm Products
SUNDARMFIN,Financial Services,Credit Services
INCREDIBLE,Basic Materials,Steel
VAKRANGEE,Technology,Information Technology Services
PVSL,Consumer Cyclical,Auto & Truck Dealerships
TIMETECHNO,Consumer Cyclical,Packaging & Containers
CAPACITE,Industrials,Engineering & Construction
DPABHUSHAN,Consumer Cyclical,Luxury Goods
AARTISURF,Basic Materials,Specialty Chemicals
LAXMIDENTL,Healthcare,Medical Instruments & Supplies
IRB,Industrials,Infrastructure Operations
SINTERCOM,Consumer Cyclical,Auto Parts
ICICIPRULI,Financial Services,Insurance - Life
BAJAJFINSV,Financial Services,Financial Conglomerates
KIRIINDUS,Basic Materials,Specialty Chemicals
NAHARINDUS,Consumer Cyclical,Textile Manufacturing
5PAISA,Financial Services,Capital Markets
BBTCL,Consumer Cyclical,Packaging & Containers
MCLOUD,Technology,Information Technology Services
MALLCOM,Industrials,Security & Protection Services
KOHINOOR,Consumer Defensive,Packaged Foods
ZEELEARN,Consumer Defensive,Education & Training Services
MAMATA,Industrials,Specialty Industrial Machinery
OSWALGREEN,Financial Services,Asset Management
BAJAJHFL,Financial Services,Mortgage Finance
JKTYRE,Consumer Cyclical,Auto Parts
MAXIND,Healthcare,Medical Care Facilities
SHREYANIND,Basic Materials,Paper & Paper Products
ARKADE,Real Estate,Real Estate - Development
TBZ,Consumer Cyclical,Luxury Goods
TVSMOTOR,Consumer Cyclical,Auto Manufacturers
MOTISONS,Consumer Cyclical,Luxury Goods
AKSHAR,Consumer Cyclical,Textile Manufacturing
GAIL,Utilities,Utilities - Regulated Gas
BALKRISIND,Consumer Cyclical,Auto Parts
IMPAL,Consumer Cyclical,Auto Parts
