symbol,sector,industry
VERTOZ,Technology,Software - Infrastructure
FIBERWEB,Consumer Cyclical,Textile Manufacturing
AGARIND,Basic Materials,Specialty Chemicals
ARIHANTCAP,Financial Services,Capital Markets
ASAHIINDIA,Consumer Cyclical,Auto Parts
RETAIL,Consumer Defensive,Grocery Stores
TNTELE,Technology,Communication Equipment
ASHIMASYN,Real Estate,Real Estate - Development
NEXTMEDIA,Communication Services,Broadcasting
OMINFRAL,Industrials,Engineering & Construction
ORIENTPPR,Basic Materials,Paper & Paper Products
CIFL,Financial Services,Credit Services
GLOBALVECT,Industrials,Airports & Air Services
ORIENTTECH,Technology,Information Technology Services
USK,Industrials,Engineering & Construction
YUKEN,Industrials,Specialty Industrial Machinery
BIOFILCHEM,Healthcare,Drug Manufacturers - Specialty & Generic
VIPULLTD,Real Estate,Real Estate - Diversified
SUNCLAY,Industrials,Metal Fabrication
EMSLIMITED,Industrials,Engineering & Construction
ARTNIRMAN,Real Estate,Real Estate - Development
KABRAEXTRU,Industrials,Specialty Industrial Machinery
JAIPURKURT,Consumer Cyclical,Apparel Manufacturing
ZEEMEDIA,Communication Services,Broadcasting
WEALTH,Financial Services,Capital Markets
PIIND,Basic Materials,Agricultural Inputs
TCPLPACK,Consumer Cyclical,Packaging & Containers
BSL,Consumer Cyclical,Textile Manufacturing
AARTECH,Industrials,Electrical Equipment & Parts
VIKASLIFE,Consumer Defensive,Farm Products
ITCHOTELS,Consumer Cyclical,Resorts & Casinos
ENIL,Communication Services,Broadcasting
NSIL,Financial Services,Asset Management
NITIRAJ,Technology,Scientific & Technical Instruments
REPRO,Industrials,Specialty Business Services
TEXRAIL,Industrials,Railroads
GENESYS,Technology,Software - Application
EVERESTIND,Industrials,Building Products & Equipment
NACLIND,Basic Materials,Agricultural Inputs
URAVIDEF,Consumer Cyclical,Auto Parts
BVCL,Basic Materials,Building Materials
NDTV,Communication Services,Broadcasting
NDL,Consumer Cyclical,Textile Manufacturing
BPL,Technology,Consumer Electronics
APCL,Basic Materials,Building Materials
ACL,Basic Materials,Building Materials
AKSHARCHEM,Basic Materials,Specialty Chemicals
GAYAHWS,Industrials,Infrastructure Operations
SUNDRMBRAK,Consumer Cyclical,Auto Parts
ZODIACLOTH,Consumer Cyclical,Apparel Manufacturing
HIMATSEIDE,Consumer Cyclical,Textile Manufacturing
TIL,Industrials,Farm & Heavy Construction Machinery
WHIRLPOOL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SUPERSPIN,Consumer Cyclical,Textile Manufacturing
AROGRANITE,Industrials,Building Products & Equipment
JHS,Consumer Defensive,Household & Personal Products
JASH,Industrials,Specialty Industrial Machinery
JSWHL,Industrials,Conglomerates
VIVIDHA,Consumer Cyclical,Textile Manufacturing
TRF,Industrials,Specialty Industrial Machinery
GMBREW,Consumer Defensive,Beverages - Wineries & Distilleries
ABCOTS,Consumer Cyclical,Textile Manufacturing
ZOTA,Healthcare,Biotechnology
VSTTILLERS,Industrials,Farm & Heavy Construction Machinery
HERANBA,Basic Materials,Agricultural Inputs
AKI,Consumer Cyclical,Footwear & Accessories
TARAPUR,Industrials,Specialty Industrial Machinery
CLEDUCATE,Consumer Defensive,Education & Training Services
PARASPETRO,Consumer Cyclical,Textile Manufacturing
BYKE,Consumer Cyclical,Lodging
ABMINTLLTD,Basic Materials,Specialty Chemicals
MBLINFRA,Industrials,Engineering & Construction
TVSHLTD,Consumer Cyclical,Auto Parts
GSLSU,Basic Materials,Building Materials
DELPHIFX,Financial Services,Capital Markets
LOTUSEYE,Healthcare,Medical Care Facilities
DIGITIDE,Industrials,Specialty Business Services
HLVLTD,Consumer Cyclical,Lodging
TRAVELFOOD,Consumer Cyclical,Restaurants
NIRAJISPAT,Consumer Cyclical,Apparel Manufacturing
PVP,Industrials,Conglomerates
VISHWARAJ,Consumer Defensive,Confectioners
ARCHIES,Consumer Cyclical,Specialty Retail
ORCHASP,Technology,Software - Application
CELEBRITY,Consumer Cyclical,Apparel Manufacturing
RAJMET,Basic Materials,Copper
DTIL,Consumer Defensive,Packaged Foods
FACT,Basic Materials,Agricultural Inputs
RNBDENIMS,Consumer Cyclical,Textile Manufacturing
UNIMECH,Industrials,Aerospace & Defense
TVVISION,Communication Services,Broadcasting
SECURKLOUD,Technology,Software - Application
TTML,Communication Services,Telecom Services
TVSELECT,Technology,Computer Hardware
KAVDEFENCE,Technology,Communication Equipment
SHEMAROO,Communication Services,Entertainment
SHANTI,Consumer Defensive,Farm Products
AXITA,Consumer Cyclical,Textile Manufacturing
KANANIIND,Consumer Cyclical,Luxury Goods
TCIFINANCE,Financial Services,Credit Services
SHIVALIK,Basic Materials,Agricultural Inputs
HPAL,Basic Materials,Specialty Chemicals
KAMATHOTEL,Consumer Cyclical,Lodging
KITEX,Consumer Cyclical,Apparel Manufacturing
KUANTUM,Basic Materials,Paper & Paper Products
KREBSBIO,Healthcare,Drug Manufacturers - Specialty & Generic
ICEMAKE,Industrials,Specialty Industrial Machinery
THEINVEST,Financial Services,Capital Markets
TFL,Financial Services,Mortgage Finance
MAHAPEXLTD,Financial Services,Credit Services
RUSTOMJEE,Real Estate,Real Estate - Development
CHEMPLASTS,Basic Materials,Chemicals
LEXUS,Industrials,Building Products & Equipment
SYMPHONY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VIPIND,Consumer Cyclical,Footwear & Accessories
GLOBE,Consumer Cyclical,Textile Manufacturing
BLUECHIP,Financial Services,Capital Markets
ELGIRUBCO,Consumer Cyclical,Auto Parts
GUFICBIO,Healthcare,Drug Manufacturers - Specialty & Generic
SILLYMONKS,Communication Services,Entertainment
SWANCORP,Industrials,Conglomerates
GANGAFORGE,Industrials,Metal Fabrication
OBCL,Industrials,Trucking
HATHWAY,Communication Services,Entertainment
GMMPFAUDLR,Industrials,Specialty Industrial Machinery
SWSOLAR,Technology,Solar
EIFFL,Consumer Defensive,Packaged Foods
SWIGGY,Consumer Cyclical,Internet Retail
HTMEDIA,Communication Services,Publishing
KHADIM,Consumer Cyclical,Footwear & Accessories
GTL,Communication Services,Telecom Services
GTECJAINX,Consumer Defensive,Education & Training Services
ZENITHSTL,Basic Materials,Steel
JWL,Industrials,Railroads
NIPPOBATRY,Industrials,Electrical Equipment & Parts
TREEHOUSE,Consumer Defensive,Education & Training Services
BAJAJHIND,Consumer Defensive,Confectioners
KALPATARU,Real Estate,Real Estate - Development
ELECTHERM,Basic Materials,Steel
PNC,Communication Services,Entertainment
NDGL,Financial Services,Capital Markets
PRAKASHSTL,Basic Materials,Steel
MTNL,Communication Services,Telecom Services
COUNCODOS,Real Estate,Real Estate - Development
CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VIKASECO,Basic Materials,Specialty Chemicals
POKARNA,Industrials,Building Products & Equipment
PILANIINVS,Financial Services,Asset Management
CAMLINFINE,Basic Materials,Specialty Chemicals
DNAMEDIA,Communication Services,Publishing
ICDSLTD,Real Estate,Real Estate Services
SANATHAN,Consumer Cyclical,Textile Manufacturing
KCPSUGIND,Consumer Defensive,Confectioners
SAMPANN,Basic Materials,Specialty Chemicals
BATAINDIA,Consumer Cyclical,Footwear & Accessories
WIPL,Basic Materials,Lumber & Wood Production
BFUTILITIE,Industrials,Infrastructure Operations
BESTAGRO,Basic Materials,Agricultural Inputs
DECCANCE,Basic Materials,Building Materials
BEDMUTHA,Basic Materials,Steel
BCONCEPTS,Consumer Cyclical,Footwear & Accessories
ABREL,Real Estate,Real Estate Services
UTKARSHBNK,Financial Services,Banks - Regional
WSI,Industrials,Engineering & Construction
BIL,Consumer Cyclical,Footwear & Accessories
ESSARSHPNG,Industrials,Marine Shipping
JISLDVREQS,Industrials,Conglomerates
VOLTAS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
JISLJALEQS,Industrials,Conglomerates
SHYAMCENT,Basic Materials,Steel
UCOBANK,Financial Services,Banks - Regional
KIOCL,Basic Materials,Steel
SHREDIGCEM,Basic Materials,Building Materials
AGRITECH,Consumer Defensive,Farm Products
MHRIL,Consumer Cyclical,Resorts & Casinos
TARC,Real Estate,Real Estate - Development
IMAGICAA,Communication Services,Entertainment
TEGA,Industrials,Specialty Industrial Machinery
AVROIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SELMC,Consumer Cyclical,Textile Manufacturing
INDIGO,Industrials,Airlines
KAYA,Consumer Defensive,Household & Personal Products
SAMMAANCAP,Financial Services,Mortgage Finance
RAMANEWS,Consumer Defensive,Beverages - Non-Alcoholic
TARMAT,Industrials,Engineering & Construction
QUADFUTURE,Industrials,Railroads
